company,quarter,Event ID,market,date,type,l,r,w,c,sector,date_ticker,total debt,equity,DERatio,ebitda,ebit,eps,NI,Asset,ROA,MV,BV,PB,shares,total debt_diff,equity_diff,DERatio_diff,ebitda_diff,ebit_diff,eps_diff,NI_diff,Asset_diff,ROA_diff,MV_diff,BV_diff,PB_diff,shares_diff
AFL,10/1/12,6,NYK,11/29/12,fraud,-2,2,-4,6,insurance,12/31/12,115.12,15.98,7.21,954,954,0.62,2.87,131.09,0.0226,21.75,17.08,1.27,939,-6.74,-0.01,-0.41,-593,-593,-0.46,0.05,-6.75,-0.0004,2.29,0.03,0.13,0
AFL,10/1/13,3,NYK,10/30/13,fraud,-2,2,-4,6,insurance,12/31/13,106.69,14.62,7.3,1110,1110,0.73,3.16,121.31,0.0264,28.03,15.91,1.76,935,1.43,-0.04,0.12,-30,-30,-0.02,0.1,1.39,0.0013,2.16,0.17,0.12,0
AFL,4/1/16,1,NYK,5/24/16,fraud,-2,2,-4,6,insurance,6/30/16,118.74,22.55,5.27,900,900,0.66,2.58,141.29,0.0204,32.24,27.49,1.17,829,10.99,2.53,-0.11,-282,-282,-0.21,-0.02,13.52,-0.0013,4.2,3.38,0.01,-13
ANAT,1/1/21,12,NYK,3/22/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
AON,1/1/19,21,NYK,3/6/19,fraud,-2,2,-4,6,insurance,3/31/19,24.27,4.86,4.99,1009,872,2.7,1.2,29.14,0.0443,167.57,20.18,8.3,244,2.07,0.64,-0.27,359,373,1.27,0.07,2.72,0.0019,25.24,2.61,0.2,-3
AON,7/1/20,23,NYK,7/20/20,fraud,-2,2,-4,6,insurance,9/30/20,27.74,3.62,7.66,533,441,1.18,1.82,31.36,0.0591,205.32,15.79,13,234,-0.56,-0.08,0,-160,-153,-0.52,0.05,-0.64,0.0002,14.04,-0.17,1.02,0
AON,4/1/21,20,NYK,4/14/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
AON,4/1/21,26,NYK,4/13/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCC,1/1/17,37,NYK,2/1/17,fraud,-2,2,-4,6,asset management,3/31/17,4.96,7.04,0.7,155,151,0.28,0.46,11.99,0.0465,11.86,16.51,0.72,422,0.88,1.87,-0.09,-36,-43,0.04,-0.01,2.74,-0.0048,0.85,0.06,0.05,108
ARCC,1/1/18,38,NYK,2/20/18,fraud,-2,2,-4,6,asset management,3/31/18,5.52,7.18,0.77,210,209,0.57,0.79,12.69,0.064,11.9,16.85,0.71,426,0.27,0.08,0.03,1,5,0.03,0.12,0.34,0.0092,0.39,0.19,0.02,1
