American Equity Investment Life Holding Debt/Equity Ratio Historical Data,American Equity Investment Life Holding Debt/Equity Ratio Historical Data,American Equity Investment Life Holding Debt/Equity Ratio Historical Data,American Equity Investment Life Holding Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$64.82B,$6.58B,9.86
2020-09-30,$62.55B,$6.12B,10.22
2020-06-30,$63.55B,$5.06B,12.55
2020-03-31,$62.03B,$3.52B,17.61
2019-12-31,$65.13B,$4.57B,14.25
2019-09-30,$64.20B,$4.13B,15.56
2019-06-30,$62.87B,$3.50B,17.98
2019-03-31,$61.54B,$2.94B,20.94
2018-12-31,$59.23B,$2.40B,24.69
2018-09-30,$60.96B,$2.49B,24.49
2018-06-30,$59.20B,$2.43B,24.39
2018-03-31,$58.75B,$2.55B,23.07
2017-12-31,$59.18B,$2.85B,20.76
2017-09-30,$57.62B,$2.76B,20.86
2017-06-30,$56.98B,$2.65B,21.49
2017-03-31,$55.11B,$2.44B,22.62
2016-12-31,$53.76B,$2.29B,23.46
2016-09-30,$53.04B,$2.81B,18.86
2016-06-30,$51.11B,$2.61B,19.56
2016-03-31,$49.03B,$2.23B,21.94
2015-12-31,$47.09B,$1.95B,24.21
2015-09-30,$44.98B,$2.15B,20.92
2015-06-30,$44.34B,$1.91B,23.24
2015-03-31,$43.06B,$2.33B,18.51
2014-12-31,$41.85B,$2.14B,19.56
2014-09-30,$40.98B,$1.98B,20.75
2014-06-30,$40.09B,$1.91B,20.95
2014-03-31,$38.89B,$1.66B,23.5
2013-12-31,$38.24B,$1.39B,27.61
2013-09-30,$37.32B,$1.40B,26.76
2013-06-30,$35.85B,$1.44B,24.86
2013-03-31,$35.12B,$1.73B,20.3
2012-12-31,$33.41B,$1.72B,19.42
2012-09-30,$32.88B,$1.72B,19.17
2012-06-30,$31.56B,$1.58B,20.0
2012-03-31,$31.67B,$1.37B,23.05
2011-12-31,$29.47B,$1.41B,20.92
2011-09-30,$28.52B,$1.36B,20.98
2011-06-30,$27.53B,$1.04B,26.48
2011-03-31,$26.87B,$0.96B,27.96
2010-12-31,$25.49B,$0.94B,27.17
2010-09-30,$23.52B,$1.05B,22.48
2010-06-30,$22.50B,$0.92B,24.5
2010-03-31,$21.70B,$0.81B,26.86
2009-12-31,$20.56B,$0.76B,27.24
2009-09-30,$20.55B,$0.75B,27.35
2009-06-30,$18.25B,$0.61B,29.79
2009-03-31,$17.00B,$0.51B,33.49
2008-12-31,$16.59B,$0.50B,33.38
2008-09-30,$16.62B,$0.52B,31.93
2008-06-30,$16.46B,$0.59B,27.75
2008-03-31,$15.93B,$0.63B,25.5
2007-12-31,$15.78B,$0.61B,25.8
2007-09-30,$15.55B,$0.62B,25.11
2007-06-30,$15.20B,$0.60B,25.26
2007-03-31,$14.49B,$0.61B,23.89
2006-12-31,$14.40B,$0.60B,24.19
2006-09-30,$14.45B,$0.57B,25.58
2006-06-30,$14.28B,$0.50B,28.55
2006-03-31,$14.17B,$0.49B,28.96
2005-12-31,$13.52B,$0.52B,26.04
2005-09-30,$12.89B,$0.35B,37.01
2005-06-30,$12.07B,$0.35B,34.74
2005-03-31,$11.35B,$0.32B,35.76
