Date,EBIT
2020-12-31,$586
2020-09-30,$-873
2020-06-30,$819
2020-03-31,$-972
2019-12-31,$439
2019-09-30,$274
2019-06-30,$361
2019-03-31,$737
2018-12-31,$-727
2018-09-30,$602
2018-06-30,$23
2018-03-31,$-680
2017-12-31,$409
2017-09-30,$328
2017-06-30,$227
2017-03-31,$317
2016-12-31,$47
2016-09-30,$144
2016-06-30,$317
2016-03-31,$207
2015-12-31,$181
2015-09-30,$-256
2015-06-30,$-83
2015-03-31,$71
2014-12-31,$116
2014-09-30,$-79
2014-06-30,$149
2014-03-31,$91
2013-12-31,$237
2013-09-30,$138
2013-06-30,$-214
2013-03-31,$413
2012-12-31,$-115
2012-09-30,$186
2012-06-30,$-42
2012-03-31,$386
2011-12-31,$122
2011-09-30,$-215
2011-06-30,$-22
2011-03-31,$188
2010-12-31,$168
2010-09-30,$155
2010-06-30,$-185
2010-03-31,$95
2009-12-31,$165
2009-09-30,$262
2009-06-30,$162
2009-03-31,$58
2008-12-31,$19
2008-09-30,$-8
2008-06-30,$35
2008-03-31,$-132
2007-12-31,$-52
2007-09-30,$-0
2007-06-30,$59
2007-03-31,$22
2006-12-31,$131
2006-09-30,$149
2006-06-30,$-24
2006-03-31,$87
2005-12-31,$51
2005-09-30,$41
2005-06-30,$43
2005-03-31,$9
