Date,EBITDA
2020-12-31,$657
2020-09-30,$187
2020-06-30,$633
2020-03-31,$-767
2019-12-31,$669
2019-09-30,$107
2019-06-30,$420
2019-03-31,$821
2018-12-31,$-743
2018-09-30,$745
2018-06-30,$220
2018-03-31,$-432
2017-12-31,$574
2017-09-30,$369
2017-06-30,$317
2017-03-31,$472
2016-12-31,$351
2016-09-30,$315
2016-06-30,$397
2016-03-31,$282
2015-12-31,$341
2015-09-30,$-125
2015-06-30,$94
2015-03-31,$96
2014-12-31,$200
2014-09-30,$-7
2014-06-30,$274
2014-03-31,$99
2013-12-31,$409
2013-09-30,$226
2013-06-30,$97
2013-03-31,$486
2012-12-31,$-9
2012-09-30,$213
2012-06-30,$9
2012-03-31,$402
2011-12-31,$215
2011-09-30,$-304
2011-06-30,$9
2011-03-31,$233
2010-12-31,$220
2010-09-30,$143
2010-06-30,$-247
2010-03-31,$84
2009-12-31,$179
2009-09-30,$202
2009-06-30,$136
2009-03-31,$51
2008-12-31,$-40
2008-09-30,$-46
2008-06-30,$-17
2008-03-31,$-80
2007-12-31,$-118
2007-09-30,$-55
2007-06-30,$42
2007-03-31,$-19
2006-12-31,$103
2006-09-30,$96
2006-06-30,$-50
2006-03-31,$72
2005-12-31,$28
2005-09-30,$16
2005-06-30,$15
2005-03-31,$-22
