Date,EPS
2020-12-31,$-0.08
2020-09-30,$7.17
2020-06-30,$-2.76
2020-03-31,$2.57
2019-12-31,$2.40
2019-09-30,$0.41
2019-06-30,$0.20
2019-03-31,$-0.33
2018-12-31,$0.59
2018-09-30,$1.85
2018-06-30,$1.03
2018-03-31,$1.55
2017-12-31,$0.41
2017-09-30,$0.63
2017-06-30,$0.30
2017-03-31,$0.60
2016-12-31,$1.43
2016-09-30,$-0.09
2016-06-30,$0.18
2016-03-31,$-0.55
2015-12-31,$0.41
2015-09-30,$1.19
2015-06-30,$1.05
2015-03-31,$0.07
2014-12-31,$0.40
2014-09-30,$0.85
2014-06-30,$0.46
2014-03-31,$-0.13
2013-12-31,$0.54
2013-09-30,$0.75
2013-06-30,$1.71
2013-03-31,$0.38
2012-12-31,$0.56
2012-09-30,$-0.13
2012-06-30,$0.30
2012-03-31,$0.16
2011-12-31,$0.83
2011-09-30,$-0.22
2011-06-30,$0.28
2011-03-31,$0.48
2010-12-31,$0.13
2010-09-30,$0.33
2010-06-30,$-0.03
2010-03-31,$0.25
2009-12-31,$0.59
2009-09-30,$-0.05
2009-06-30,$0.16
2009-03-31,$0.48
2008-12-31,$-0.38
2008-09-30,$-0.22
2008-06-30,$0.07
2008-03-31,$0.83
2007-12-31,$-0.12
2007-09-30,$0.06
2007-06-30,$0.35
2007-03-31,$0.17
2006-12-31,$0.33
2006-09-30,$0.16
2006-06-30,$0.71
2006-03-31,$0.07
2005-12-31,$0.24
2005-09-30,$0.17
2005-06-30,$0.29
2005-03-31,$0.29
