American Equity Investment Life Holding Price/Book Ratio Historical Data,American Equity Investment Life Holding Price/Book Ratio Historical Data,American Equity Investment Life Holding Price/Book Ratio Historical Data,American Equity Investment Life Holding Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,31.21,,0.45
2020-12-31,27.66,$68.69,0.4
2020-09-30,21.74,$66.56,0.33
2020-06-30,24.43,$55.27,0.44
2020-03-31,18.59,$38.50,0.48
2019-12-31,29.59,$50.16,0.59
2019-09-30,23.68,$45.35,0.52
2019-06-30,26.58,$38.46,0.69
2019-03-31,26.44,$32.38,0.82
2018-12-31,27.35,$26.55,1.03
2018-09-30,34.32,$27.57,1.24
2018-06-30,34.94,$26.90,1.3
2018-03-31,28.5,$28.30,1.01
2017-12-31,29.83,$31.91,0.93
2017-09-30,27.99,$31.06,0.9
2017-06-30,25.3,$29.88,0.85
2017-03-31,22.74,$27.49,0.83
2016-12-31,21.7,$26.04,0.83
2016-09-30,16.88,$32.00,0.53
2016-06-30,13.57,$31.76,0.43
2016-03-31,15.99,$27.20,0.59
2015-12-31,22.88,$23.90,0.96
2015-09-30,22.01,$26.48,0.83
2015-06-30,25.47,$24.84,1.03
2015-03-31,27.5,$30.34,0.91
2014-12-31,27.56,$28.13,0.98
2014-09-30,21.45,$26.59,0.81
2014-06-30,23.06,$25.83,0.89
2014-03-31,22.14,$22.86,0.97
2013-12-31,24.73,$19.63,1.26
2013-09-30,19.74,$21.55,0.92
2013-06-30,14.6,$22.71,0.64
2013-03-31,13.85,$27.56,0.5
2012-12-31,11.36,$27.86,0.41
2012-09-30,10.68,$27.86,0.38
2012-06-30,10.11,$26.20,0.39
2012-03-31,11.73,$23.43,0.5
2011-12-31,9.55,$24.36,0.39
2011-09-30,7.95,$23.50,0.34
2011-06-30,11.55,$17.98,0.64
2011-03-31,11.92,$16.66,0.72
2010-12-31,11.4,$16.47,0.69
2010-09-30,9.22,$18.46,0.5
2010-06-30,9.29,$16.23,0.57
2010-03-31,9.59,$14.32,0.67
2009-12-31,6.7,$13.43,0.5
2009-09-30,6.26,$13.37,0.47
2009-06-30,4.97,$10.93,0.46
2009-03-31,3.71,$9.94,0.37
2008-12-31,6.24,$9.79,0.64
2008-09-30,6.61,$10.26,0.64
2008-06-30,7.18,$11.49,0.62
2008-03-31,8.17,$12.09,0.68
2007-12-31,7.3,$11.42,0.64
2007-09-30,9.32,$11.49,0.81
2007-06-30,10.57,$11.17,0.95
2007-03-31,11.49,$11.33,1.01
2006-12-31,11.4,$11.12,1.02
2006-09-30,10.69,$10.12,1.06
2006-06-30,9.29,$8.99,1.03
2006-03-31,12.5,$8.80,1.42
