American Financial Debt/Equity Ratio Historical Data,American Financial Debt/Equity Ratio Historical Data,American Financial Debt/Equity Ratio Historical Data,American Financial Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$66.78B,$6.79B,9.84
2020-09-30,$66.77B,$6.34B,10.53
2020-06-30,$64.74B,$6.13B,10.57
2020-03-31,$62.60B,$5.05B,12.4
2019-12-31,$63.86B,$6.27B,10.19
2019-09-30,$62.75B,$6.32B,9.93
2019-06-30,$61.61B,$6.09B,10.12
2019-03-31,$60.47B,$5.67B,10.67
2018-12-31,$58.48B,$4.97B,11.76
2018-09-30,$59.03B,$5.16B,11.43
2018-06-30,$56.75B,$5.08B,11.16
2018-03-31,$55.47B,$5.18B,10.7
2017-12-31,$55.33B,$5.33B,10.38
2017-09-30,$54.78B,$5.38B,10.19
2017-06-30,$53.31B,$5.31B,10.04
2017-03-31,$52.27B,$5.20B,10.06
2016-12-31,$50.15B,$4.92B,10.2
2016-09-30,$49.49B,$5.36B,9.24
2016-06-30,$47.54B,$5.19B,9.16
2016-03-31,$46.10B,$4.94B,9.34
2015-12-31,$45.07B,$4.77B,9.45
2015-09-30,$45.65B,$4.91B,9.31
2015-06-30,$44.44B,$4.98B,8.92
2015-03-31,$43.21B,$5.10B,8.47
2014-12-31,$42.48B,$5.05B,8.41
2014-09-30,$41.47B,$5.08B,8.17
2014-06-30,$40.20B,$5.16B,7.79
2014-03-31,$37.80B,$4.97B,7.6
2013-12-31,$37.32B,$4.77B,7.83
2013-09-30,$36.24B,$4.71B,7.69
2013-06-30,$34.78B,$4.64B,7.5
2013-03-31,$34.23B,$4.91B,6.98
2012-12-31,$34.42B,$4.75B,7.25
2012-09-30,$34.67B,$4.96B,6.98
2012-06-30,$32.28B,$4.78B,6.76
2012-03-31,$31.48B,$4.73B,6.65
2011-12-31,$31.28B,$4.56B,6.86
2011-09-30,$30.51B,$4.62B,6.6
2011-06-30,$29.43B,$4.63B,6.36
2011-03-31,$28.34B,$4.61B,6.14
2010-12-31,$27.83B,$4.62B,6.03
2010-09-30,$27.91B,$4.73B,5.9
2010-06-30,$26.10B,$4.43B,5.89
2010-03-31,$25.98B,$4.31B,6.03
2009-12-31,$23.76B,$3.92B,6.06
2009-09-30,$24.05B,$3.80B,6.33
2009-06-30,$23.08B,$3.19B,7.23
2009-03-31,$23.16B,$2.68B,8.65
2008-12-31,$23.83B,$2.60B,9.16
2008-09-30,$24.15B,$2.78B,8.7
2008-06-30,$23.28B,$2.88B,8.1
2008-03-31,$22.98B,$3.02B,7.61
2007-12-31,$22.76B,$3.05B,7.47
2007-09-30,$23.10B,$3.01B,7.67
2007-06-30,$22.73B,$2.97B,7.65
2007-03-31,$22.34B,$3.04B,7.35
2006-12-31,$22.17B,$2.93B,7.57
2006-09-30,$22.31B,$2.76B,8.08
2006-06-30,$20.63B,$2.48B,8.33
2006-03-31,$20.46B,$2.45B,8.35
2005-12-31,$20.36B,$2.46B,8.28
2005-09-30,$20.74B,$2.40B,8.63
2005-06-30,$19.96B,$2.56B,7.8
2005-03-31,$19.65B,$2.36B,8.33
