Date,EPS
2020-12-31,$7.71
2020-09-30,$1.86
2020-06-30,$1.97
2020-03-31,$-3.34
2019-12-31,$2.29
2019-09-30,$1.62
2019-06-30,$2.31
2019-03-31,$3.63
2018-12-31,$-0.32
2018-09-30,$2.26
2018-06-30,$2.31
2018-03-31,$1.60
2017-12-31,$1.82
2017-09-30,$0.13
2017-06-30,$1.61
2017-03-31,$1.72
2016-12-31,$4.34
2016-09-30,$1.23
2016-06-30,$0.62
2016-03-31,$1.14
2015-12-31,$1.45
2015-09-30,$0.71
2015-06-30,$1.57
2015-03-31,$0.21
2014-12-31,$1.41
2014-09-30,$1.28
2014-06-30,$1.15
2014-03-31,$1.13
2013-12-31,$1.72
2013-09-30,$0.92
2013-06-30,$1.20
2013-03-31,$1.32
2012-12-31,$0.55
2012-09-30,$2.39
2012-06-30,$1.01
2012-03-31,$1.14
2011-12-31,$1.08
2011-09-30,$0.95
2011-06-30,$0.46
2011-03-31,$0.83
2010-12-31,$1.25
2010-09-30,$1.21
2010-06-30,$0.97
2010-03-31,$0.93
2009-12-31,$1.39
2009-09-30,$1.09
2009-06-30,$1.09
2009-03-31,$0.88
2008-12-31,$0.33
2008-09-30,$0.18
2008-06-30,$0.52
2008-03-31,$0.64
2007-12-31,$0.71
2007-09-30,$0.93
2007-06-30,$0.54
2007-03-31,$0.92
2006-12-31,$1.11
2006-09-30,$0.77
2006-06-30,$1.02
2006-03-31,$0.85
2005-12-31,$0.74
2005-09-30,$-0.23
2005-06-30,$0.69
2005-03-31,$0.54
