American Financial Price/Book Ratio Historical Data,American Financial Price/Book Ratio Historical Data,American Financial Price/Book Ratio Historical Data,American Financial Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,118.24,,1.5
2020-12-31,87.13,$78.63,1.11
2020-09-30,64.62,$72.65,0.89
2020-06-30,60.77,$69.10,0.88
2020-03-31,66.71,$56.19,1.19
2019-12-31,103.96,$69.42,1.5
2019-09-30,100.14,$70.13,1.43
2019-06-30,94.79,$67.73,1.4
2019-03-31,87.32,$63.20,1.38
2018-12-31,81.81,$55.68,1.47
2018-09-30,98.45,$57.90,1.7
2018-06-30,94.92,$57.08,1.66
2018-03-31,97.61,$58.31,1.67
2017-12-31,94.1,$60.39,1.56
2017-09-30,87.67,$61.06,1.44
2017-06-30,83.95,$60.36,1.39
2017-03-31,79.13,$59.31,1.33
2016-12-31,72.82,$56.59,1.29
2016-09-30,60.97,$61.72,0.99
2016-06-30,59.87,$59.79,1.0
2016-03-31,56.75,$56.77,1.0
2015-12-31,57.89,$54.53,1.06
2015-09-30,54.36,$56.18,0.97
2015-06-30,51.12,$56.93,0.9
2015-03-31,50.23,$58.03,0.87
2014-12-31,47.34,$57.62,0.82
2014-09-30,44.2,$57.38,0.77
2014-06-30,45.31,$57.56,0.79
2014-03-31,43.73,$55.51,0.79
2013-12-31,43.57,$53.28,0.82
2013-09-30,39.92,$52.79,0.76
2013-06-30,35.98,$52.22,0.69
2013-03-31,34.72,$54.60,0.64
2012-12-31,28.82,$53.36,0.54
2012-09-30,27.33,$54.64,0.5
2012-06-30,28.15,$50.28,0.56
2012-03-31,27.56,$48.69,0.57
2011-12-31,26.23,$46.57,0.56
2011-09-30,21.97,$46.90,0.47
2011-06-30,25.12,$45.78,0.55
2011-03-31,24.54,$44.57,0.55
2010-12-31,22.51,$43.93,0.51
2010-09-30,21.21,$43.89,0.48
2010-06-30,18.86,$40.78,0.46
2010-03-31,19.55,$38.76,0.5
2009-12-31,17.05,$34.56,0.49
2009-09-30,17.34,$32.63,0.53
2009-06-30,14.59,$27.56,0.53
2009-03-31,10.78,$23.15,0.47
2008-12-31,15.27,$22.51,0.68
2008-09-30,19.53,$24.05,0.81
2008-06-30,17.63,$24.98,0.71
2008-03-31,16.77,$26.74,0.63
2007-12-31,18.86,$26.84,0.7
2007-09-30,18.56,$26.08,0.71
2007-06-30,22.16,$24.90,0.89
2007-03-31,22.03,$25.46,0.87
2006-12-31,23.17,$24.55,0.94
2006-09-30,20.13,$23.26,0.87
2006-06-30,18.34,$21.00,0.87
2006-03-31,17.73,$20.80,0.85
