Date,Shares
2020-12-31,89
2020-09-30,89
2020-06-30,90
2020-03-31,90
2019-12-31,91
2019-09-30,91
2019-06-30,91
2019-03-31,91
2018-12-31,91
2018-09-30,91
2018-06-30,91
2018-03-31,90
2017-12-31,90
2017-09-30,90
2017-06-30,90
2017-03-31,89
2016-12-31,89
2016-09-30,89
2016-06-30,88
2016-03-31,89
2015-12-31,89
2015-09-30,89
2015-06-30,90
2015-03-31,89
2014-12-31,91
2014-09-30,91
2014-06-30,92
2014-03-31,92
2013-12-31,91
2013-09-30,91
2013-06-30,92
2013-03-31,91
2012-12-31,96
2012-09-30,95
2012-06-30,98
2012-03-31,99
2011-12-31,103
2011-09-30,101
2011-06-30,104
2011-03-31,106
2010-12-31,111
2010-09-30,110
2010-06-30,112
2010-03-31,113
2009-12-31,117
2009-09-30,117
2009-06-30,117
2009-03-31,116
2008-12-31,117
2008-09-30,117
2008-06-30,116
2008-03-31,117
2007-12-31,123
2007-09-30,120
2007-06-30,122
2007-03-31,122
2006-12-31,121
2006-09-30,121
2006-06-30,120
2006-03-31,119
2005-12-31,118
2005-09-30,118
2005-06-30,117
2005-03-31,117
