Aflac Debt/Equity Ratio Historical Data,Aflac Debt/Equity Ratio Historical Data,Aflac Debt/Equity Ratio Historical Data,Aflac Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$131.53B,$33.56B,3.92
2020-09-30,$128.48B,$32.48B,3.96
2020-06-30,$127.67B,$29.42B,4.34
2020-03-31,$125.21B,$26.40B,4.74
2019-12-31,$123.81B,$28.96B,4.28
2019-09-30,$124.70B,$29.44B,4.24
2019-06-30,$123.16B,$28.24B,4.36
2019-03-31,$119.63B,$26.05B,4.59
2018-12-31,$116.94B,$23.46B,4.98
2018-09-30,$114.71B,$23.23B,4.94
2018-06-30,$118.19B,$23.80B,4.97
2018-03-31,$123.07B,$24.29B,5.07
2017-12-31,$112.62B,$24.60B,4.58
2017-09-30,$114.11B,$21.98B,5.19
2017-06-30,$113.89B,$21.50B,5.3
2017-03-31,$113.31B,$20.34B,5.57
2016-12-31,$109.34B,$20.48B,5.34
2016-09-30,$121.32B,$22.79B,5.32
2016-06-30,$118.74B,$22.55B,5.27
2016-03-31,$107.75B,$20.02B,5.38
2015-12-31,$100.55B,$17.71B,5.68
2015-09-30,$100.20B,$17.26B,5.81
2015-06-30,$98.56B,$17.02B,5.79
2015-03-31,$102.76B,$18.64B,5.51
2014-12-31,$101.42B,$18.35B,5.53
2014-09-30,$109.40B,$17.85B,6.13
2014-06-30,$110.31B,$17.56B,6.28
2014-03-31,$107.62B,$15.68B,6.87
2013-12-31,$106.69B,$14.62B,7.3
2013-09-30,$105.26B,$14.66B,7.18
2013-06-30,$102.62B,$13.70B,7.49
2013-03-31,$105.00B,$15.54B,6.76
2012-12-31,$115.12B,$15.98B,7.21
2012-09-30,$121.86B,$15.99B,7.62
2012-06-30,$108.03B,$14.18B,7.62
2012-03-31,$101.91B,$13.64B,7.47
2011-12-31,$103.29B,$12.95B,7.98
2011-09-30,$102.01B,$12.71B,8.02
2011-06-30,$94.25B,$11.98B,7.87
2011-03-31,$90.12B,$11.02B,8.18
2010-12-31,$89.98B,$11.06B,8.14
2010-09-30,$86.71B,$11.13B,7.79
2010-06-30,$81.21B,$10.03B,8.1
2010-03-31,$76.19B,$8.99B,8.48
2009-12-31,$75.69B,$8.42B,8.99
2009-09-30,$74.73B,$7.88B,9.48
2009-06-30,$69.69B,$6.35B,10.98
2009-03-31,$66.62B,$5.20B,12.81
2008-12-31,$72.69B,$6.64B,10.95
2008-09-30,$63.96B,$6.50B,9.84
2008-06-30,$62.65B,$7.90B,7.93
2008-03-31,$64.14B,$8.13B,7.89
2007-12-31,$57.01B,$8.80B,6.48
2007-09-30,$55.13B,$8.45B,6.52
2007-06-30,$51.92B,$8.19B,6.34
2007-03-31,$52.70B,$8.49B,6.21
2006-12-31,$51.46B,$8.34B,6.17
2006-09-30,$50.33B,$8.03B,6.27
2006-06-30,$50.26B,$7.17B,7.01
2006-03-31,$48.56B,$7.58B,6.41
2005-12-31,$48.43B,$7.93B,6.11
2005-09-30,$49.45B,$8.01B,6.18
2005-06-30,$49.54B,$8.46B,5.86
2005-03-31,$49.27B,$7.78B,6.34
