Date,EPS
2020-12-31,$1.33
2020-09-30,$3.44
2020-06-30,$1.12
2020-03-31,$0.78
2019-12-31,$1.07
2019-09-30,$1.04
2019-06-30,$1.09
2019-03-31,$1.23
2018-12-31,$0.70
2018-09-30,$1.09
2018-06-30,$1.07
2018-03-31,$0.91
2017-12-31,$3.25
2017-09-30,$0.90
2017-06-30,$0.89
2017-03-31,$0.73
2016-12-31,$0.92
2016-09-30,$0.77
2016-06-30,$0.66
2016-03-31,$0.87
2015-12-31,$0.85
2015-09-30,$0.66
2015-06-30,$0.66
2015-03-31,$0.76
2014-12-31,$0.78
2014-09-30,$0.78
2014-06-30,$0.89
2014-03-31,$0.80
2013-12-31,$0.73
2013-09-30,$0.75
2013-06-30,$0.95
2013-03-31,$0.95
2012-12-31,$0.62
2012-09-30,$1.08
2012-06-30,$0.52
2012-03-31,$0.84
2011-12-31,$0.57
2011-09-30,$0.79
2011-06-30,$0.29
2011-03-31,$0.42
2010-12-31,$0.44
2010-09-30,$0.73
2010-06-30,$0.62
2010-03-31,$0.68
2009-12-31,$0.27
2009-09-30,$0.39
2009-06-30,$0.34
2009-03-31,$0.61
2008-12-31,$0.22
2008-09-30,$0.11
2008-06-30,$0.50
2008-03-31,$0.49
2007-12-31,$0.39
2007-09-30,$0.43
2007-06-30,$0.42
2007-03-31,$0.42
2006-12-31,$0.34
2006-09-30,$0.37
2006-06-30,$0.41
2006-03-31,$0.37
2005-12-31,$0.36
2005-09-30,$0.45
2005-06-30,$0.33
2005-03-31,$0.32
