Aflac Price/Book Ratio Historical Data,Aflac Price/Book Ratio Historical Data,Aflac Price/Book Ratio Historical Data,Aflac Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,51.64,,1.07
2020-12-31,44.16,$48.46,0.91
2020-09-30,35.86,$46.16,0.78
2020-06-30,35.28,$41.21,0.86
2020-03-31,33.25,$36.75,0.9
2019-12-31,51.09,$39.84,1.28
2019-09-30,50.28,$40.04,1.26
2019-06-30,52.4,$38.14,1.37
2019-03-31,47.56,$34.90,1.36
2018-12-31,43.1,$31.06,1.39
2018-09-30,44.26,$30.45,1.45
2018-06-30,40.23,$30.94,1.3
2018-03-31,40.69,$31.31,1.3
2017-12-31,40.58,$31.50,1.29
2017-09-30,37.42,$27.90,1.34
2017-06-30,35.52,$27.15,1.31
2017-03-31,32.93,$25.55,1.29
2016-12-31,31.45,$25.24,1.25
2016-09-30,32.29,$27.92,1.16
2016-06-30,32.24,$27.49,1.17
2016-03-31,28.04,$24.11,1.16
2015-12-31,26.41,$20.86,1.27
2015-09-30,25.46,$20.18,1.26
2015-06-30,27.08,$19.76,1.37
2015-03-31,27.7,$21.48,1.29
2014-12-31,26.27,$20.73,1.27
2014-09-30,24.89,$19.81,1.26
2014-06-30,26.43,$19.38,1.36
2014-03-31,26.61,$17.26,1.54
2013-12-31,28.03,$15.91,1.76
2013-09-30,25.87,$15.74,1.64
2013-06-30,24.11,$14.73,1.64
2013-03-31,21.45,$16.67,1.29
2012-12-31,21.75,$17.08,1.27
2012-09-30,19.46,$17.05,1.14
2012-06-30,17.19,$15.15,1.13
2012-03-31,18.42,$14.59,1.26
2011-12-31,17.21,$13.88,1.24
2011-09-30,13.8,$13.62,1.01
2011-06-30,18.29,$12.83,1.43
2011-03-31,20.56,$11.79,1.74
2010-12-31,21.87,$11.77,1.86
2010-09-30,19.93,$11.82,1.69
2010-06-30,16.35,$10.65,1.53
2010-03-31,20.68,$9.57,2.16
2009-12-31,17.51,$8.98,1.95
2009-09-30,16.08,$8.43,1.91
2009-06-30,11.62,$6.79,1.71
2009-03-31,7.18,$5.56,1.29
2008-12-31,16.77,$7.11,2.36
2008-09-30,21.36,$6.82,3.13
2008-06-30,22.73,$8.30,2.74
2008-03-31,23.42,$8.56,2.74
2007-12-31,22.5,$9.04,2.49
2007-09-30,20.42,$8.66,2.36
2007-06-30,18.33,$8.38,2.19
2007-03-31,16.71,$8.68,1.93
2006-12-31,16.28,$8.47,1.92
2006-09-30,16.13,$8.11,1.99
2006-06-30,16.29,$7.21,2.26
2006-03-31,15.82,$7.60,2.08
