Aflac ROA - Return on Assets Historical Data,Aflac ROA - Return on Assets Historical Data,Aflac ROA - Return on Assets Historical Data,Aflac ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$4.78B,$165.09B,3.01%
2020-09-30,$4.61B,$160.96B,2.96%
2020-06-30,$2.93B,$157.09B,1.90%
2020-03-31,$2.94B,$151.62B,1.93%
2019-12-31,$3.30B,$152.77B,2.19%
2019-09-30,$3.05B,$154.14B,2.06%
2019-06-30,$3.12B,$151.40B,2.17%
2019-03-31,$3.13B,$145.68B,2.21%
2018-12-31,$2.92B,$140.41B,2.06%
2018-09-30,$4.98B,$137.94B,3.53%
2018-06-30,$4.85B,$141.99B,3.45%
2018-03-31,$4.73B,$147.36B,3.40%
2017-12-31,$4.60B,$137.22B,3.40%
2017-09-30,$2.77B,$136.08B,2.07%
2017-06-30,$2.69B,$135.39B,1.98%
2017-03-31,$2.52B,$133.65B,1.84%
2016-12-31,$2.66B,$129.82B,1.96%
2016-09-30,$2.64B,$144.10B,1.99%
2016-06-30,$2.58B,$141.29B,2.04%
2016-03-31,$2.60B,$127.77B,2.17%
2015-12-31,$2.53B,$118.26B,2.14%
2015-09-30,$2.51B,$117.46B,2.11%
2015-06-30,$2.65B,$115.58B,2.19%
2015-03-31,$2.88B,$121.40B,2.32%
2014-12-31,$2.95B,$119.77B,2.37%
2014-09-30,$2.92B,$127.25B,2.34%
2014-06-30,$2.92B,$127.87B,2.37%
2014-03-31,$3.00B,$123.29B,2.49%
2013-12-31,$3.16B,$121.31B,2.64%
2013-09-30,$3.06B,$119.92B,2.51%
2013-06-30,$3.38B,$116.31B,2.67%
2013-03-31,$2.97B,$120.54B,2.32%
2012-12-31,$2.87B,$131.09B,2.26%
2012-09-30,$2.82B,$137.84B,2.30%
2012-06-30,$2.54B,$122.21B,2.17%
2012-03-31,$2.33B,$115.55B,2.06%
2011-12-31,$1.94B,$116.24B,1.77%
2011-09-30,$1.82B,$114.72B,1.72%
2011-06-30,$1.77B,$106.23B,1.75%
2011-03-31,$2.08B,$101.15B,2.13%
2010-12-31,$2.33B,$101.04B,2.48%
2010-09-30,$2.16B,$97.84B,2.41%
2010-06-30,$1.83B,$91.24B,2.13%
2010-03-31,$1.56B,$85.18B,1.91%
2009-12-31,$1.50B,$84.11B,1.90%
2009-09-30,$1.44B,$82.62B,1.86%
2009-06-30,$1.18B,$76.04B,1.59%
2009-03-31,$1.35B,$71.82B,1.85%
2008-12-31,$1.25B,$79.33B,1.71%
2008-09-30,$1.44B,$70.46B,2.06%
2008-06-30,$1.76B,$70.55B,2.59%
2008-03-31,$1.69B,$72.27B,2.59%
2007-12-31,$1.63B,$65.81B,2.61%
2007-09-30,$1.58B,$63.58B,2.59%
2007-06-30,$1.53B,$60.11B,2.56%
2007-03-31,$1.52B,$61.19B,2.57%
2006-12-31,$1.48B,$59.81B,2.56%
2006-09-30,$1.51B,$58.35B,2.65%
2006-06-30,$1.60B,$57.43B,2.82%
2006-03-31,$1.53B,$56.14B,2.68%
2005-12-31,$1.48B,$56.36B,2.59%
