Date,Shares
2020-12-31,716
2020-09-30,714
2020-06-30,720
2020-03-31,728
2019-12-31,746
2019-09-30,744
2019-06-30,749
2019-03-31,756
2018-12-31,775
2018-09-30,772
2018-06-30,778
2018-03-31,784
2017-12-31,798
2017-09-30,795
2017-06-30,799
2017-03-31,808
2016-12-31,828
2016-09-30,822
2016-06-30,829
2016-03-31,842
2015-12-31,866
2015-09-30,862
2015-06-30,869
2015-03-31,880
2014-12-31,908
2014-09-30,908
2014-06-30,911
2014-03-31,915
2013-12-31,935
2013-09-30,935
2013-06-30,936
2013-03-31,938
2012-12-31,939
2012-09-30,939
2012-06-30,937
2012-03-31,937
2011-12-31,939
2011-09-30,936
2011-06-30,940
2011-03-31,944
2010-12-31,946
2010-09-30,947
2010-06-30,945
2010-03-31,945
2009-12-31,938
2009-09-30,939
2009-06-30,937
2009-03-31,934
2008-12-31,958
2008-09-30,961
2008-06-30,962
2008-03-31,969
2007-12-31,988
2007-09-30,986
2007-06-30,988
2007-03-31,993
2006-12-31,1004
2006-09-30,1002
2006-06-30,1007
2006-03-31,1009
2005-12-31,1015
2005-09-30,1015
2005-06-30,1016
2005-03-31,1019
