Date,EBITDA
2020-12-31,"$9,003"
2020-09-30,"$1,408"
2020-06-30,"$-8,614"
2020-03-31,"$5,024"
2019-12-31,"$2,669"
2019-09-30,"$2,784"
2019-06-30,"$3,570"
2019-03-31,"$2,794"
2018-12-31,"$1,220"
2018-09-30,$-171
2018-06-30,"$2,958"
2018-03-31,"$2,890"
2017-12-31,"$2,089"
2017-09-30,"$-1,695"
2017-06-30,"$3,005"
2017-03-31,"$3,036"
2016-12-31,"$-5,073"
2016-09-30,"$1,468"
2016-06-30,"$3,583"
2016-03-31,"$4,827"
2015-12-31,"$-4,449"
2015-09-30,"$1,176"
2015-06-30,"$4,866"
2015-03-31,"$8,365"
2014-12-31,$394
2014-09-30,"$5,202"
2014-06-30,"$4,025"
2014-03-31,"$7,131"
2013-12-31,"$1,062"
2013-09-30,"$4,072"
2013-06-30,"$5,923"
2013-03-31,"$5,865"
2012-12-31,"$2,160"
2012-09-30,"$5,256"
2012-06-30,"$4,985"
2012-03-31,"$6,926"
2011-12-31,"$5,075"
2011-09-30,$-391
2011-06-30,"$4,739"
2011-03-31,"$5,802"
2010-12-31,"$-1,063"
2010-09-30,"$4,781"
2010-06-30,"$8,033"
2010-03-31,"$9,415"
2009-12-31,$-510
2009-09-30,"$14,826"
2009-06-30,"$10,256"
2009-03-31,"$3,193"
2008-12-31,"$-34,395"
2008-09-30,"$-17,506"
2008-06-30,$604
2008-03-31,"$-3,374"
2007-12-31,"$5,896"
2007-09-30,"$10,691"
2007-06-30,"$10,155"
2007-03-31,"$9,864"
2006-12-31,"$18,209"
2006-09-30,"$10,146"
2006-06-30,"$8,445"
2006-03-31,"$8,372"
2005-12-31,"$11,748"
2005-09-30,"$3,192"
2005-06-30,"$7,085"
2005-03-31,"$6,288"
