American ROA - Return on Assets Historical Data,American ROA - Return on Assets Historical Data,American ROA - Return on Assets Historical Data,American ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$-5.97B,$586.48B,-1.06%
2020-09-30,$-4.99B,$577.23B,-0.91%
2020-06-30,$-4.62B,$569.39B,-0.87%
2020-03-31,$4.41B,$510.48B,0.85%
2019-12-31,$3.33B,$525.06B,0.64%
2019-09-30,$1.78B,$525.12B,0.35%
2019-06-30,$-0.13B,$522.27B,-0.02%
2019-03-31,$-0.29B,$512.92B,-0.06%
2018-12-31,$-0.01B,$491.98B,0.00%
2018-09-30,$-6.04B,$504.86B,-1.21%
2018-06-30,$-6.52B,$496.83B,-1.31%
2018-03-31,$-6.33B,$499.14B,-1.27%
2017-12-31,$-6.08B,$498.30B,-1.22%
2017-09-30,$-2.47B,$503.07B,-0.49%
2017-06-30,$-0.26B,$499.76B,-0.05%
2017-03-31,$0.52B,$500.16B,0.10%
2016-12-31,$-0.85B,$498.26B,-0.17%
2016-09-30,$0.35B,$514.57B,0.07%
2016-06-30,$-0.34B,$510.35B,-0.07%
2016-03-31,$-0.46B,$502.78B,-0.09%
2015-12-31,$2.20B,$496.84B,0.43%
2015-09-30,$4.69B,$501.99B,0.92%
2015-06-30,$7.12B,$509.99B,1.37%
2015-03-31,$8.39B,$520.70B,1.60%
2014-12-31,$7.53B,$515.58B,1.42%
2014-09-30,$8.85B,$527.19B,1.65%
2014-06-30,$8.83B,$529.11B,1.64%
2014-03-31,$8.49B,$547.11B,1.57%
2013-12-31,$9.09B,$541.33B,1.68%
2013-09-30,$3.15B,$540.74B,0.58%
2013-06-30,$2.84B,$537.44B,0.52%
2013-03-31,$2.44B,$548.88B,0.44%
2012-12-31,$3.44B,$548.63B,0.62%
2012-09-30,$28.88B,$550.72B,5.22%
2012-06-30,$23.03B,$555.38B,4.17%
2012-03-31,$22.53B,$554.40B,3.97%
2011-12-31,$19.81B,$553.05B,3.41%
2011-09-30,$5.19B,$544.26B,0.85%
2011-06-30,$6.66B,$616.80B,0.96%
2011-03-31,$2.17B,$611.25B,0.29%
2010-12-31,$2.05B,$683.44B,0.25%
2010-09-30,$-12.10B,$871.97B,-1.41%
2010-06-30,$-9.49B,$850.53B,-1.11%
2010-03-31,$-6.52B,$863.70B,-0.77%
2009-12-31,$-12.24B,$847.59B,-1.47%
2009-09-30,$-67.02B,$844.34B,-7.99%
2009-06-30,$-91.58B,$830.41B,-10.37%
2009-03-31,$-97.25B,$819.76B,-10.37%
2008-12-31,$-99.69B,$860.42B,-10.01%
2008-09-30,$-42.92B,"$1,022.24B",-4.12%
2008-06-30,$-15.37B,"$1,049.88B",-1.46%
2008-03-31,$-5.74B,"$1,051.09B",-0.55%
2007-12-31,$6.20B,"$1,048.36B",0.60%
2007-09-30,$14.93B,"$1,072.11B",1.46%
2007-06-30,$16.07B,"$1,033.87B",1.63%
2007-03-31,$14.98B,$999.75B,1.57%
2006-12-31,$14.05B,$979.41B,1.52%
2006-09-30,$11.05B,$941.54B,1.24%
2006-06-30,$8.57B,$900.67B,0.99%
2006-03-31,$9.87B,$879.80B,1.16%
2005-12-31,$10.48B,$853.05B,1.25%
