Date,Shares
2020-12-31,869
2020-09-30,873
2020-06-30,867
2020-03-31,879
2019-12-31,890
2019-09-30,896
2019-06-30,888
2019-03-31,878
2018-12-31,910
2018-09-30,895
2018-06-30,917
2018-03-31,925
2017-12-31,931
2017-09-30,909
2017-06-30,948
2017-03-31,1005
2016-12-31,1091
2016-09-30,1102
2016-06-30,1140
2016-03-31,1157
2015-12-31,1334
2015-09-30,1279
2015-06-30,1365
2015-03-31,1386
2014-12-31,1448
2014-09-30,1442
2014-06-30,1465
2014-03-31,1473
2013-12-31,1481
2013-09-30,1485
2013-06-30,1482
2013-03-31,1477
2012-12-31,1687
2012-09-30,1643
2012-06-30,1757
2012-03-31,1876
2011-12-31,1799
2011-09-30,1900
2011-06-30,1837
2011-03-31,1558
2010-12-31,137
2010-09-30,136
2010-06-30,136
2010-03-31,136
2009-12-31,135
2009-09-30,135
2009-06-30,135
2009-03-31,135
2008-12-31,132
2008-09-30,135
2008-06-30,130
2008-03-31,126
2007-12-31,130
2007-09-30,129
2007-06-30,131
2007-03-31,131
2006-12-31,131
2006-09-30,131
2006-06-30,131
2006-03-31,131
2005-12-31,131
2005-09-30,131
2005-06-30,131
2005-03-31,131
