Date,EBITDA
2020-12-31,$247
2020-09-30,$59
2020-06-30,$287
2020-03-31,$165
2019-12-31,$278
2019-09-30,$152
2019-06-30,$245
2019-03-31,$266
2018-12-31,$95
2018-09-30,$125
2018-06-30,$114
2018-03-31,$170
2017-12-31,$171
2017-09-30,$-95
2017-06-30,$191
2017-03-31,$228
2016-12-31,$69
2016-09-30,$235
2016-06-30,$251
2016-03-31,$352
2015-12-31,$124
2015-09-30,$-18
2015-06-30,$54
2015-03-31,$97
2014-12-31,$104
2014-09-30,$239
2014-06-30,$208
2014-03-31,$252
2013-12-31,$199
2013-09-30,$215
2013-06-30,$232
2013-03-31,$222
2012-12-31,$50
2012-09-30,$224
2012-06-30,$280
2012-03-31,$265
2011-12-31,$264
2011-09-30,$128
2011-06-30,$146
2011-03-31,$230
2010-12-31,$-107
2010-09-30,$242
2010-06-30,$269
2010-03-31,$264
2009-12-31,$76
2009-09-30,$224
2009-06-30,$297
2009-03-31,$173
2008-12-31,$207
2008-09-30,$-148
2008-06-30,$265
2008-03-31,$301
2007-12-31,$212
2007-09-30,$299
2007-06-30,$268
2007-03-31,$293
2006-12-31,$405
2006-09-30,$246
2006-06-30,$247
2006-03-31,$258
2005-12-31,$165
2005-09-30,$157
2005-06-30,$203
2005-03-31,$192
