Date,EPS
2020-12-31,$0.72
2020-09-30,$0.90
2020-06-30,$0.79
2020-03-31,$1.79
2019-12-31,$0.51
2019-09-30,$0.66
2019-06-30,$0.58
2019-03-31,$1.77
2018-12-31,$0.62
2018-09-30,$0.68
2018-06-30,$0.62
2018-03-31,$1.48
2017-12-31,$0.37
2017-09-30,$0.61
2017-06-30,$0.39
2017-03-31,$1.27
2016-12-31,$0.43
2016-09-30,$0.69
2016-06-30,$0.84
2016-03-31,$0.26
2015-12-31,$0.37
2015-09-30,$0.75
2015-06-30,$0.81
2015-03-31,$0.13
2014-12-31,$0.33
2014-09-30,$0.58
2014-06-30,$0.70
2014-03-31,$0.36
2013-12-31,$0.44
2013-09-30,$0.57
2013-06-30,$0.73
2013-03-31,$0.32
2012-12-31,$0.26
2012-09-30,$0.50
2012-06-30,$0.59
2012-03-31,$0.24
2011-12-31,$0.36
2011-09-30,$0.41
2011-06-30,$0.37
2011-03-31,$0.14
2010-12-31,$0.52
2010-09-30,$0.44
2010-06-30,$0.42
2010-03-31,$0.28
2009-12-31,$0.16
2009-09-30,$0.41
2009-06-30,$0.44
2009-03-31,$0.27
2008-12-31,$0.05
2008-09-30,$0.40
2008-06-30,$0.44
2008-03-31,$-0.07
2007-12-31,$0.25
2007-09-30,$0.54
2007-06-30,$0.44
2007-03-31,$0.20
2006-12-31,$0.26
2006-09-30,$0.51
2006-06-30,$0.37
2006-03-31,$0.17
2005-12-31,$0.11
2005-09-30,$0.52
2005-06-30,$0.54
2005-03-31,$-0.85
