Arthur J Gallagher Price/Book Ratio Historical Data,Arthur J Gallagher Price/Book Ratio Historical Data,Arthur J Gallagher Price/Book Ratio Historical Data,Arthur J Gallagher Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,132.55,,4.12
2020-12-31,123.22,$32.18,3.83
2020-09-30,104.75,$30.26,3.46
2020-06-30,96.31,$28.90,3.33
2020-03-31,80.16,$26.74,3.0
2019-12-31,93.24,$27.73,3.36
2019-09-30,87.29,$26.34,3.31
2019-06-30,84.96,$26.59,3.2
2019-03-31,75.38,$26.76,2.82
2018-12-31,70.76,$24.84,2.85
2018-09-30,71.08,$25.11,2.83
2018-06-30,61.99,$24.72,2.51
2018-03-31,64.86,$25.18,2.58
2017-12-31,59.36,$23.76,2.5
2017-09-30,57.4,$23.08,2.49
2017-06-30,53.03,$21.70,2.44
2017-03-31,52.02,$20.76,2.51
2016-12-31,47.48,$20.50,2.32
2016-09-30,46.14,$21.03,2.19
2016-06-30,42.84,$20.65,2.07
2016-03-31,39.72,$20.62,1.93
2015-12-31,36.22,$20.85,1.74
2015-09-30,36.21,$20.98,1.73
2015-06-30,41.13,$21.27,1.93
2015-03-31,40.34,$19.31,2.09
2014-12-31,40.31,$20.08,2.01
2014-09-30,38.55,$20.17,1.91
2014-06-30,39.3,$20.44,1.92
2014-03-31,39.82,$15.87,2.51
2013-12-31,38.97,$15.61,2.5
2013-09-30,35.97,$14.69,2.45
2013-06-30,35.7,$13.33,2.68
2013-03-31,33.49,$13.13,2.55
2012-12-31,27.84,$13.21,2.11
2012-09-30,28.51,$13.15,2.17
2012-06-30,27.65,$12.17,2.27
2012-03-31,27.9,$11.47,2.43
2011-12-31,25.86,$10.84,2.39
2011-09-30,20.14,$10.80,1.87
2011-06-30,21.58,$10.72,2.01
2011-03-31,22.73,$10.40,2.19
2010-12-31,21.5,$10.21,2.11
2010-09-30,19.29,$9.54,2.02
2010-06-30,17.62,$9.18,1.92
2010-03-31,17.52,$8.85,1.98
2009-12-31,15.86,$8.71,1.82
2009-09-30,16.93,$8.54,1.98
2009-06-30,14.64,$8.30,1.76
2009-03-31,11.49,$7.97,1.44
2008-12-31,17.19,$7.66,2.24
2008-09-30,16.81,$8.16,2.06
2008-06-30,15.6,$7.78,2.0
2008-03-31,15.1,$7.53,2.01
2007-12-31,15.25,$7.78,1.96
2007-09-30,18.04,$8.19,2.2
2007-06-30,17.18,$8.21,2.09
2007-03-31,17.27,$8.78,1.97
2006-12-31,17.82,$8.78,2.03
2006-09-30,15.92,$8.62,1.85
2006-06-30,14.96,$8.24,1.81
2006-03-31,16.22,$8.05,2.01
