Date,EBIT
2020-12-31,$295
2020-09-30,$261
2020-06-30,$287
2020-03-31,$279
2019-12-31,$350
2019-09-30,$298
2019-06-30,$257
2019-03-31,$264
2018-12-31,$290
2018-09-30,$262
2018-06-30,$221
2018-03-31,$210
2017-12-31,$259
2017-09-30,$218
2017-06-30,$219
2017-03-31,$201
2016-12-31,$216
2016-09-30,$209
2016-06-30,$205
2016-03-31,$205
2015-12-31,$218
2015-09-30,$180
2015-06-30,$176
2015-03-31,$157
2014-12-31,$161
2014-09-30,$145
2014-06-30,$143
2014-03-31,$139
2013-12-31,$134
2013-09-30,$117
2013-06-30,$110
2013-03-31,$102
2012-12-31,$100
2012-09-30,$92
2012-06-30,$78
2012-03-31,$64
2011-12-31,$53
2011-09-30,$39
2011-06-30,$21
2011-03-31,$14
2010-12-31,$1
2010-09-30,$-7
2010-06-30,$-43
2010-03-31,$-0
