Date,EPS
2020-12-31,$0.94
2020-09-30,$1.02
2020-06-30,$1.26
2020-03-31,$1.17
2019-12-31,$1.42
2019-09-30,$1.34
2019-06-30,$1.10
2019-03-31,$1.23
2018-12-31,$1.24
2018-09-30,$1.32
2018-06-30,$1.04
2018-03-31,$1.00
2017-12-31,$4.22
2017-09-30,$0.90
2017-06-30,$0.92
2017-03-31,$0.78
2016-12-31,$0.89
2016-09-30,$0.86
2016-06-30,$0.84
2016-03-31,$0.85
2015-12-31,$0.74
2015-09-30,$0.71
2015-06-30,$0.70
2015-03-31,$0.19
2014-12-31,$0.65
2014-09-30,$0.58
2014-06-30,$0.58
2014-03-31,$0.57
2013-12-31,$0.55
2013-09-30,$0.46
2013-06-30,$0.41
2013-03-31,$0.38
2012-12-31,$0.38
2012-09-30,$0.36
2012-06-30,$0.28
2012-03-31,$0.26
2011-12-31,$0.28
2011-09-30,$0.18
2011-06-30,$0.08
2011-03-31,$0.05
2010-12-31,$2.23
2010-09-30,$-0.12
2010-06-30,$-2.37
2010-03-31,$-1.06
