Air Lease Price/Book Ratio Historical Data,Air Lease Price/Book Ratio Historical Data,Air Lease Price/Book Ratio Historical Data,Air Lease Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,49.0,,0.92
2020-12-31,44.28,$53.33,0.83
2020-09-30,29.21,$52.53,0.56
2020-06-30,28.94,$51.59,0.56
2020-03-31,21.78,$50.48,0.43
2019-12-31,46.29,$49.61,0.93
2019-09-30,40.61,$48.47,0.84
2019-06-30,40.03,$47.46,0.84
2019-03-31,33.15,$46.56,0.71
2018-12-31,29.04,$43.32,0.67
2018-09-30,43.94,$43.04,1.02
2018-06-30,40.11,$41.68,0.96
2018-03-31,40.64,$40.65,1.0
2017-12-31,45.75,$39.83,1.15
2017-09-30,40.46,$35.41,1.14
2017-06-30,35.4,$34.48,1.03
2017-03-31,36.64,$33.53,1.09
2016-12-31,32.4,$32.89,0.99
2016-09-30,26.92,$31.97,0.84
2016-06-30,25.18,$31.07,0.81
2016-03-31,30.15,$30.19,1.0
2015-12-31,31.38,$29.44,1.07
2015-09-30,28.94,$28.65,1.01
2015-06-30,31.69,$27.90,1.14
2015-03-31,35.23,$27.16,1.3
2014-12-31,32.0,$27.07,1.18
2014-09-30,30.28,$26.32,1.15
2014-06-30,35.91,$25.71,1.4
2014-03-31,34.68,$25.35,1.37
2013-12-31,28.88,$24.78,1.17
2013-09-30,25.68,$24.18,1.06
2013-06-30,25.59,$23.69,1.08
2013-03-31,27.17,$23.45,1.16
2012-12-31,19.91,$23.04,0.86
2012-09-30,18.89,$22.58,0.84
2012-06-30,17.95,$22.13,0.81
2012-03-31,22.29,$21.96,1.02
2011-12-31,21.95,$21.61,1.02
2011-09-30,17.78,$21.28,0.84
2011-06-30,22.49,$21.11,1.07
