Date,Shares
2020-12-31,114
2020-09-30,114
2020-06-30,114
2020-03-31,114
2019-12-31,113
2019-09-30,113
2019-06-30,113
2019-03-31,112
2018-12-31,112
2018-09-30,113
2018-06-30,112
2018-03-31,112
2017-12-31,112
2017-09-30,112
2017-06-30,112
2017-03-31,111
2016-12-31,111
2016-09-30,111
2016-06-30,111
2016-03-31,111
2015-12-31,111
2015-09-30,111
2015-06-30,111
2015-03-31,111
2014-12-31,110
2014-09-30,110
2014-06-30,110
2014-03-31,110
2013-12-31,109
2013-09-30,109
2013-06-30,109
2013-03-31,108
2012-12-31,108
2012-09-30,108
2012-06-30,107
2012-03-31,107
2011-12-31,90
2011-09-30,101
2011-06-30,91
2011-03-31,66
2010-12-31,40
2010-09-30,65
2010-06-30,17
2010-03-31,0
