Allstate Debt/Equity Ratio Historical Data,Allstate Debt/Equity Ratio Historical Data,Allstate Debt/Equity Ratio Historical Data,Allstate Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$95.77B,$30.22B,3.17
2020-09-30,$95.49B,$27.26B,3.5
2020-06-30,$94.28B,$26.99B,3.49
2020-03-31,$91.93B,$24.17B,3.8
2019-12-31,$93.95B,$26.00B,3.61
2019-09-30,$94.93B,$26.14B,3.63
2019-06-30,$93.90B,$24.48B,3.84
2019-03-31,$92.42B,$23.42B,3.95
2018-12-31,$90.94B,$21.31B,4.27
2018-09-30,$90.86B,$23.63B,3.84
2018-06-30,$90.25B,$23.12B,3.9
2018-03-31,$90.01B,$23.28B,3.87
2017-12-31,$89.87B,$22.55B,3.99
2017-09-30,$91.51B,$22.12B,4.14
2017-06-30,$89.36B,$21.50B,4.16
2017-03-31,$89.09B,$21.16B,4.21
2016-12-31,$88.04B,$20.57B,4.28
2016-09-30,$87.60B,$20.93B,4.19
2016-06-30,$86.73B,$20.55B,4.22
2016-03-31,$85.61B,$20.34B,4.21
2015-12-31,$84.63B,$20.03B,4.23
2015-09-30,$85.35B,$20.50B,4.16
2015-06-30,$85.82B,$21.30B,4.03
2015-03-31,$85.89B,$22.18B,3.87
2014-12-31,$86.18B,$22.30B,3.86
2014-09-30,$85.98B,$22.33B,3.85
2014-06-30,$87.36B,$22.87B,3.82
2014-03-31,$102.19B,$22.11B,4.62
2013-12-31,$102.04B,$21.48B,4.75
2013-09-30,$101.51B,$20.78B,4.89
2013-06-30,$101.61B,$19.87B,5.11
2013-03-31,$105.99B,$20.62B,5.14
2012-12-31,$106.37B,$20.58B,5.17
2012-09-30,$106.15B,$20.84B,5.09
2012-06-30,$106.06B,$19.48B,5.45
2012-03-31,$106.72B,$19.21B,5.56
2011-12-31,$106.87B,$18.33B,5.83
2011-09-30,$108.83B,$18.13B,6.0
2011-06-30,$110.23B,$18.79B,5.87
2011-03-31,$111.08B,$19.34B,5.74
2010-12-31,$111.83B,$19.04B,5.87
2010-09-30,$113.23B,$19.30B,5.87
2010-06-30,$112.74B,$18.07B,6.24
2010-03-31,$114.80B,$17.59B,6.53
2009-12-31,$115.93B,$16.72B,6.93
2009-09-30,$117.97B,$17.53B,6.73
2009-06-30,$117.99B,$15.10B,7.82
2009-03-31,$118.10B,$12.27B,9.62
2008-12-31,$122.13B,$12.67B,9.64
2008-09-30,$126.64B,$16.94B,7.48
2008-06-30,$131.12B,$19.71B,6.65
2008-03-31,$131.91B,$20.30B,6.5
2007-12-31,$134.56B,$21.85B,6.16
2007-09-30,$137.74B,$21.63B,6.37
2007-06-30,$138.98B,$21.56B,6.45
2007-03-31,$137.60B,$22.49B,6.12
2006-12-31,$135.71B,$21.85B,6.21
2006-09-30,$138.12B,$22.20B,6.22
2006-06-30,$136.49B,$20.61B,6.62
2006-03-31,$136.26B,$20.55B,6.63
2005-12-31,$135.89B,$20.19B,6.73
2005-09-30,$136.71B,$19.42B,7.04
2005-06-30,$132.62B,$22.32B,5.94
2005-03-31,$130.14B,$21.33B,6.1
