Date,EBITDA
2020-12-31,"$3,615"
2020-09-30,"$1,901"
2020-06-30,"$1,801"
2020-03-31,$901
2019-12-31,"$2,495"
2019-09-30,"$1,399"
2019-06-30,"$1,327"
2019-03-31,"$1,877"
2018-12-31,$-484
2018-09-30,"$1,400"
2018-06-30,"$1,130"
2018-03-31,"$1,486"
2017-12-31,"$2,063"
2017-09-30,"$1,187"
2017-06-30,"$1,094"
2017-03-31,"$1,224"
2016-12-31,"$1,440"
2016-09-30,$939
2016-06-30,$555
2016-03-31,$522
2015-12-31,$895
2015-09-30,"$1,131"
2015-06-30,$709
2015-03-31,"$1,246"
2014-12-31,"$1,406"
2014-09-30,"$1,386"
2014-06-30,"$1,126"
2014-03-31,"$1,099"
2013-12-31,"$1,509"
2013-09-30,"$1,326"
2013-06-30,"$1,306"
2013-03-31,"$1,239"
2012-12-31,$737
2012-09-30,"$1,233"
2012-06-30,$807
2012-03-31,"$1,306"
2011-12-31,"$1,242"
2011-09-30,$376
2011-06-30,$-883
2011-03-31,$894
2010-12-31,$458
2010-09-30,$610
2010-06-30,$279
2010-03-31,$225
2009-12-31,$807
2009-09-30,$363
2009-06-30,$577
2009-03-31,$-75
2008-12-31,"$-1,825"
2008-09-30,"$-1,575"
2008-06-30,$-85
2008-03-31,$464
2007-12-31,"$1,099"
2007-09-30,"$1,397"
2007-06-30,"$2,063"
2007-03-31,"$2,209"
2006-12-31,"$1,811"
2006-09-30,"$1,723"
2006-06-30,"$1,827"
2006-03-31,"$2,261"
2005-12-31,"$1,526"
2005-09-30,"$-2,471"
2005-06-30,"$1,725"
2005-03-31,"$1,625"
