Allstate ROA - Return on Assets Historical Data,Allstate ROA - Return on Assets Historical Data,Allstate ROA - Return on Assets Historical Data,Allstate ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$5.46B,$125.99B,4.49%
2020-09-30,$4.57B,$122.75B,3.81%
2020-06-30,$4.33B,$121.27B,3.62%
2020-03-31,$3.93B,$116.11B,3.31%
2019-12-31,$4.68B,$119.95B,3.94%
2019-09-30,$2.39B,$121.07B,2.04%
2019-06-30,$2.44B,$118.37B,2.12%
2019-03-31,$2.30B,$115.83B,2.01%
2018-12-31,$2.01B,$112.25B,1.78%
2018-09-30,$4.18B,$114.49B,3.69%
2018-06-30,$3.88B,$113.37B,3.43%
2018-03-31,$3.75B,$113.29B,3.33%
2017-12-31,$3.44B,$112.42B,3.08%
2017-09-30,$2.66B,$113.63B,2.40%
2017-06-30,$2.52B,$110.87B,2.30%
2017-03-31,$2.21B,$110.24B,2.03%
2016-12-31,$1.76B,$108.61B,1.64%
2016-09-30,$1.41B,$108.54B,1.32%
2016-06-30,$1.54B,$107.28B,1.45%
2016-03-31,$1.62B,$105.95B,1.53%
2015-12-31,$2.06B,$104.66B,1.93%
2015-09-30,$2.39B,$105.85B,2.23%
2015-06-30,$2.52B,$107.12B,2.33%
2015-03-31,$2.81B,$108.06B,2.58%
2014-12-31,$2.75B,$108.48B,2.43%
2014-09-30,$2.76B,$108.31B,2.37%
2014-06-30,$2.32B,$110.23B,1.93%
2014-03-31,$2.14B,$124.29B,1.74%
2013-12-31,$2.26B,$123.52B,1.83%
2013-09-30,$1.85B,$122.29B,1.49%
2013-06-30,$2.26B,$121.48B,1.80%
2013-03-31,$2.25B,$126.61B,1.78%
2012-12-31,$2.31B,$126.95B,1.83%
2012-09-30,$2.62B,$126.99B,2.08%
2012-06-30,$2.08B,$125.54B,1.65%
2012-03-31,$1.03B,$125.93B,0.81%
2011-12-31,$0.79B,$125.19B,0.62%
2011-09-30,$0.35B,$126.96B,0.27%
2011-06-30,$0.55B,$129.02B,0.42%
2011-03-31,$1.32B,$130.43B,1.00%
2010-12-31,$0.91B,$130.87B,0.69%
2010-09-30,$1.15B,$132.53B,0.87%
2010-06-30,$1.00B,$130.81B,0.76%
2010-03-31,$1.25B,$132.39B,0.94%
2009-12-31,$0.85B,$132.65B,0.64%
2009-09-30,$-0.79B,$135.50B,-0.59%
2009-06-30,$-1.94B,$133.09B,-1.43%
2009-03-31,$-2.30B,$130.37B,-1.64%
2008-12-31,$-1.68B,$134.80B,-1.16%
2008-09-30,$0.21B,$143.57B,0.14%
2008-06-30,$2.11B,$150.83B,1.36%
2008-03-31,$3.49B,$152.21B,2.22%
2007-12-31,$4.64B,$156.41B,2.91%
2007-09-30,$5.09B,$159.37B,3.19%
2007-06-30,$5.27B,$160.54B,3.30%
2007-03-31,$5.07B,$160.09B,3.20%
2006-12-31,$4.99B,$157.55B,3.16%
2006-09-30,$4.82B,$160.32B,3.06%
2006-06-30,$2.12B,$157.09B,1.35%
2006-03-31,$2.06B,$156.81B,1.32%
2005-12-31,$1.77B,$156.07B,1.14%
