Date,Shares
2020-12-31,316
2020-09-30,314
2020-06-30,317
2020-03-31,322
2019-12-31,334
2019-09-30,333
2019-06-30,337
2019-03-31,338
2018-12-31,353
2018-09-30,352
2018-06-30,355
2018-03-31,360
2017-12-31,368
2017-09-30,367
2017-06-30,369
2017-03-31,371
2016-12-31,377
2016-09-30,376
2016-06-30,378
2016-03-31,383
2015-12-31,407
2015-09-30,402
2015-06-30,413
2015-03-31,423
2014-12-31,438
2014-09-30,431
2014-06-30,441
2014-03-31,453
2013-12-31,470
2013-09-30,467
2013-06-30,474
2013-03-31,481
2012-12-31,493
2012-09-30,490
2012-06-30,494
2012-03-31,502
2011-12-31,523
2011-09-30,514
2011-06-30,523
2011-03-31,534
2010-12-31,543
2010-09-30,543
2010-06-30,543
2010-03-31,542
2009-12-31,541
2009-09-30,542
2009-06-30,541
2009-03-31,539
2008-12-31,548
2008-09-30,542
2008-06-30,554
2008-03-31,563
2007-12-31,598
2007-09-30,585
2007-06-30,609
2007-03-31,622
2006-12-31,637
2006-09-30,634
2006-06-30,639
2006-03-31,647
2005-12-31,667
2005-09-30,655
2005-06-30,673
2005-03-31,683
