Ally Financial Debt/Equity Ratio Historical Data,Ally Financial Debt/Equity Ratio Historical Data,Ally Financial Debt/Equity Ratio Historical Data,Ally Financial Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$167.46B,$14.70B,11.39
2020-09-30,$171.14B,$14.13B,12.12
2020-06-30,$170.24B,$13.83B,12.31
2020-03-31,$169.01B,$13.52B,12.5
2019-12-31,$166.23B,$14.42B,11.53
2019-09-30,$167.04B,$14.45B,11.56
2019-06-30,$166.13B,$14.32B,11.61
2019-03-31,$166.42B,$13.70B,12.15
2018-12-31,$165.60B,$13.27B,12.48
2018-09-30,$160.02B,$13.09B,12.23
2018-06-30,$158.21B,$13.14B,12.04
2018-03-31,$156.94B,$13.08B,12.0
2017-12-31,$153.65B,$13.49B,11.39
2017-09-30,$150.44B,$13.57B,11.08
2017-06-30,$150.87B,$13.47B,11.2
2017-03-31,$148.74B,$13.37B,11.13
2016-12-31,$150.41B,$13.32B,11.3
2016-09-30,$143.77B,$13.63B,10.55
2016-06-30,$144.32B,$13.61B,10.6
2016-03-31,$142.68B,$13.82B,10.32
2015-12-31,$145.14B,$13.44B,10.8
2015-09-30,$141.51B,$14.60B,9.69
2015-06-30,$142.18B,$14.30B,9.95
2015-03-31,$137.59B,$15.93B,8.64
2014-12-31,$136.23B,$15.40B,8.85
2014-09-30,$134.01B,$15.19B,8.82
2014-06-30,$135.06B,$14.88B,9.08
2014-03-31,$133.99B,$14.46B,9.27
2013-12-31,$136.96B,$14.21B,9.64
2013-09-30,$131.50B,$19.06B,6.9
2013-06-30,$131.46B,$19.17B,6.86
2013-03-31,$0.00B,$0.00B,0.0
2012-12-31,$0.00B,,0.0
2012-09-30,$0.00B,$0.00B,0.0
2012-06-30,$0.00B,$0.00B,0.0
2011-12-31,$164.78B,$19.28B,8.55
2010-12-31,$151.52B,$20.49B,7.4
2009-12-31,$151.47B,$20.84B,7.27
2008-12-31,$0.00B,$0.00B,0.0
