Date,EPS
2020-12-31,$1.83
2020-09-30,$1.26
2020-06-30,$0.64
2020-03-31,$-0.85
2019-12-31,$0.99
2019-09-30,$0.97
2019-06-30,$1.46
2019-03-31,$0.92
2018-12-31,$0.69
2018-09-30,$0.88
2018-06-30,$0.81
2018-03-31,$0.57
2017-12-31,$0.40
2017-09-30,$0.63
2017-06-30,$0.55
2017-03-31,$0.46
2016-12-31,$0.52
2016-09-30,$0.43
2016-06-30,$0.71
2016-03-31,$0.49
2015-12-31,$-1.98
2015-09-30,$0.48
2015-06-30,$-2.22
2015-03-31,$1.06
2014-12-31,$0.22
2014-09-30,$0.74
2014-06-30,$0.54
2014-03-31,$0.33
2013-12-31,$-0.80
2013-09-30,$-0.27
2013-06-30,$-2.73
2013-03-31,$2.16
2012-12-31,$0.00
2012-09-30,$138.00
2012-06-30,$-825.00
2011-12-31,$0.00
2010-12-31,$0.00
2009-12-31,$0.00
2008-12-31,$0.00
