Affiliated Managers Debt/Equity Ratio Historical Data,Affiliated Managers Debt/Equity Ratio Historical Data,Affiliated Managers Debt/Equity Ratio Historical Data,Affiliated Managers Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$4.57B,$3.32B,1.38
2020-09-30,$4.34B,$3.33B,1.3
2020-06-30,$4.15B,$3.34B,1.24
2020-03-31,$3.97B,$3.51B,1.13
2019-12-31,$4.15B,$3.50B,1.19
2019-09-30,$4.05B,$3.63B,1.11
2019-06-30,$3.90B,$3.83B,1.02
2019-03-31,$3.92B,$3.76B,1.04
2018-12-31,$4.08B,$4.14B,0.99
2018-09-30,$4.22B,$4.32B,0.98
2018-06-30,$4.13B,$4.36B,0.95
2018-03-31,$4.16B,$4.42B,0.94
2017-12-31,$4.12B,$4.58B,0.9
2017-09-30,$4.30B,$4.40B,0.98
2017-06-30,$4.26B,$4.37B,0.98
2017-03-31,$4.22B,$4.37B,0.97
2016-12-31,$4.32B,$4.43B,0.98
2016-09-30,$4.29B,$4.03B,1.07
2016-06-30,$4.25B,$3.79B,1.12
2016-03-31,$4.32B,$3.77B,1.15
2015-12-31,$4.00B,$3.77B,1.06
2015-09-30,$3.93B,$3.61B,1.09
2015-06-30,$4.04B,$3.64B,1.11
2015-03-31,$3.95B,$3.55B,1.11
2014-12-31,$4.06B,$3.64B,1.11
2014-09-30,$3.37B,$3.51B,0.96
2014-06-30,$3.22B,$3.51B,0.92
2014-03-31,$3.25B,$3.38B,0.96
2013-12-31,$3.17B,$3.15B,1.01
2013-09-30,$3.26B,$3.00B,1.09
2013-06-30,$2.98B,$3.09B,0.96
2013-03-31,$3.19B,$3.04B,1.05
2012-12-31,$3.15B,$3.04B,1.03
2012-09-30,$3.18B,$2.86B,1.11
2012-06-30,$2.88B,$2.74B,1.05
2012-03-31,$2.74B,$2.47B,1.11
2011-12-31,$2.72B,$2.50B,1.09
2011-09-30,$2.69B,$2.44B,1.1
2011-06-30,$2.86B,$2.46B,1.16
2011-03-31,$2.91B,$2.35B,1.24
2010-12-31,$2.91B,$2.38B,1.22
2010-09-30,$2.74B,$2.21B,1.24
2010-06-30,$2.90B,$2.04B,1.43
2010-03-31,$2.33B,$1.54B,1.51
2009-12-31,$1.91B,$1.48B,1.29
2009-09-30,$1.89B,$1.43B,1.32
2009-06-30,$1.75B,$1.33B,1.32
2009-03-31,$1.70B,$1.29B,1.32
2008-12-31,$2.04B,$1.17B,1.74
2008-09-30,$2.32B,$1.20B,1.93
2008-06-30,$2.17B,$1.17B,1.86
2008-03-31,$2.18B,$1.12B,1.94
2007-12-31,$2.93B,$0.47B,6.24
2007-09-30,$2.11B,$0.64B,3.3
2007-06-30,$2.09B,$0.59B,3.53
2007-03-31,$2.05B,$0.51B,4.0
2006-12-31,$2.17B,$0.50B,4.34
2006-09-30,$2.00B,$0.54B,3.73
2006-06-30,$1.91B,$0.54B,3.52
2006-03-31,$1.58B,$0.82B,1.93
2005-12-31,$1.50B,$0.82B,1.84
2005-09-30,$1.45B,$0.81B,1.79
2005-06-30,$1.21B,$0.77B,1.58
2005-03-31,$1.19B,$0.74B,1.61
