Date,EBIT
2020-12-31,$194
2020-09-30,$159
2020-06-30,$84
2020-03-31,$173
2019-12-31,$129
2019-09-30,$195
2019-06-30,$199
2019-03-31,$174
2018-12-31,$155
2018-09-30,$199
2018-06-30,$214
2018-03-31,$199
2017-12-31,$196
2017-09-30,$218
2017-06-30,$199
2017-03-31,$175
2016-12-31,$27
2016-09-30,$239
2016-06-30,$247
2016-03-31,$179
2015-12-31,$193
2015-09-30,$215
2015-06-30,$195
2015-03-31,$231
2014-12-31,$199
2014-09-30,$224
2014-06-30,$198
2014-03-31,$194
2013-12-31,$153
2013-09-30,$169
2013-06-30,$161
2013-03-31,$151
2012-12-31,$127
2012-09-30,$140
2012-06-30,$25
2012-03-31,$109
2011-12-31,$95
2011-09-30,$126
2011-06-30,$140
2011-03-31,$125
2010-12-31,$114
2010-09-30,$96
2010-06-30,$96
2010-03-31,$69
2009-12-31,$81
2009-09-30,$63
2009-06-30,$51
2009-03-31,$45
2008-12-31,$52
2008-09-30,$97
2008-06-30,$103
2008-03-31,$115
2007-12-31,$167
2007-09-30,$128
2007-06-30,$124
2007-03-31,$112
2006-12-31,$144
2006-09-30,$102
2006-06-30,$104
2006-03-31,$104
2005-12-31,$104
2005-09-30,$81
2005-06-30,$76
2005-03-31,$74
