Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,67.959999,69.059998,67.879997,68.879997,66.763603,306100
2010-01-05,68.779999,69.500000,68.269997,69.430000,67.296707,324600
2010-01-06,69.209999,71.470001,69.209999,70.790001,68.614891,486200
2010-01-07,70.449997,71.040001,69.970001,70.470001,68.304733,434000
2010-01-08,70.040001,70.690002,69.309998,69.820000,67.674706,382800
2010-01-11,70.239998,70.629997,69.459999,70.290001,68.130272,378100
2010-01-12,69.540001,70.669998,68.970001,69.769997,67.626228,324000
2010-01-13,70.339996,70.559998,69.750000,70.519997,68.353210,462000
2010-01-14,70.190002,70.480003,69.070000,69.220001,67.093155,764400
2010-01-15,69.099998,69.480003,67.709999,67.760002,65.678001,460800
2010-01-19,67.760002,68.629997,67.239998,68.300003,66.201431,382400
2010-01-20,67.610001,67.959999,66.250000,67.129997,65.067352,477500
2010-01-21,67.070000,67.540001,65.639999,65.949997,63.923626,564300
2010-01-22,65.839996,66.250000,65.339996,65.849998,63.826706,1070800
2010-01-25,66.650002,67.709999,65.849998,66.010002,63.981762,965800
2010-01-26,65.690002,65.830002,63.110001,63.230000,61.287193,800400
2010-01-27,63.169998,64.330002,63.060001,63.900002,61.936615,1161600
2010-01-28,64.110001,64.279999,61.720001,61.779999,59.881752,1112300
2010-01-29,62.189999,63.520000,60.549999,60.570000,58.708931,892100
2010-02-01,61.119999,65.190002,60.660000,64.120003,62.149860,1236400
2010-02-02,64.930000,66.019997,64.580002,65.470001,63.458378,683100
2010-02-03,65.059998,66.169998,65.040001,65.849998,63.826706,578800
2010-02-04,65.110001,65.589996,63.340000,63.340000,61.393814,644500
2010-02-05,63.259998,63.740002,60.910000,63.709999,61.752449,540700
2010-02-08,63.720001,64.120003,62.459999,62.500000,60.579632,482500
2010-02-09,63.580002,63.580002,61.939999,62.450001,60.531174,577400
2010-02-10,66.190002,69.730003,66.150002,67.519997,65.445381,1910500
2010-02-11,67.160004,68.330002,67.150002,67.860001,65.774925,651400
2010-02-12,66.790001,68.760002,66.160004,68.709999,66.598824,638300
2010-02-16,69.550003,69.919998,68.580002,69.400002,67.267632,416400
