Date,EBIT
2020-12-31,$349
2020-09-30,$23
2020-06-30,$-223
2020-03-31,"$2,488"
2019-12-31,$736
2019-09-30,$820
2019-06-30,$832
2019-03-31,$727
2018-12-31,$891
2018-09-30,$816
2018-06-30,$808
2018-03-31,$888
2017-12-31,$795
2017-09-30,$861
2017-06-30,$734
2017-03-31,$687
2016-12-31,$707
2016-09-30,$451
2016-06-30,$621
2016-03-31,$676
2015-12-31,$727
2015-09-30,$732
2015-06-30,$864
2015-03-31,$874
2014-12-31,$833
2014-09-30,$967
2014-06-30,$873
2014-03-31,$915
2013-12-31,$772
2013-09-30,$874
2013-06-30,$660
2013-03-31,$751
2012-12-31,$694
2012-09-30,$474
2012-06-30,$580
2012-03-31,$597
2011-12-31,$644
2011-09-30,$611
2011-06-30,$696
2011-03-31,$669
2010-12-31,$501
2010-09-30,$747
2010-06-30,$767
2010-03-31,$653
2009-12-31,$588
2009-09-30,$617
2009-06-30,$380
2009-03-31,$365
2008-12-31,$-438
2008-09-30,$51
2008-06-30,$452
2008-03-31,$411
2007-12-31,$588
2007-09-30,$516
2007-06-30,$552
2007-03-31,$547
2006-12-31,$-451
2006-09-30,$901
2006-06-30,$909
2006-03-31,$855
2005-12-31,$-531
2005-09-30,$931
2005-06-30,$872
2005-03-31,$852
