Date,EBITDA
2020-12-31,$406
2020-09-30,$77
2020-06-30,$-174
2020-03-31,"$2,535"
2019-12-31,$787
2019-09-30,$861
2019-06-30,$877
2019-03-31,$773
2018-12-31,$937
2018-09-30,$861
2018-06-30,$859
2018-03-31,$944
2017-12-31,$853
2017-09-30,$916
2017-06-30,$792
2017-03-31,$750
2016-12-31,$768
2016-09-30,$511
2016-06-30,$683
2016-03-31,$741
2015-12-31,$752
2015-09-30,$832
2015-06-30,$921
2015-03-31,$940
2014-12-31,$894
2014-09-30,"$1,031"
2014-06-30,$939
2014-03-31,$978
2013-12-31,$836
2013-09-30,$933
2013-06-30,$718
2013-03-31,$809
2012-12-31,$751
2012-09-30,$532
2012-06-30,$634
2012-03-31,$653
2011-12-31,$693
2011-09-30,$612
2011-06-30,$733
2011-03-31,$692
2010-12-31,$532
2010-09-30,$454
2010-06-30,$987
2010-03-31,$805
2009-12-31,$512
2009-09-30,$565
2009-06-30,$237
2009-03-31,$756
2008-12-31,$70
2008-09-30,$388
2008-06-30,$687
2008-03-31,$652
2007-12-31,$845
2007-09-30,$716
2007-06-30,$764
2007-03-31,$767
2006-12-31,$-292
2006-09-30,"$1,071"
2006-06-30,"$1,162"
2006-03-31,"$1,066"
2005-12-31,$-336
2005-09-30,"$1,074"
2005-06-30,"$1,103"
2005-03-31,"$1,079"
