Date,EPS
2020-12-31,$1.77
2020-09-30,$-1.14
2020-06-30,$-4.31
2020-03-31,$15.88
2019-12-31,$3.49
2019-09-30,$4.04
2019-06-30,$3.57
2019-03-31,$2.82
2018-12-31,$3.76
2018-09-30,$3.43
2018-06-30,$3.10
2018-03-31,$3.91
2017-12-31,$1.16
2017-09-30,$3.26
2017-06-30,$2.50
2017-03-31,$2.52
2016-12-31,$2.45
2016-09-30,$1.30
2016-06-30,$1.97
2016-03-31,$2.09
2015-12-31,$2.00
2015-09-30,$2.17
2015-06-30,$2.23
2015-03-31,$2.08
2014-12-31,$2.21
2014-09-30,$2.17
2014-06-30,$1.91
2014-03-31,$2.01
2013-12-31,$1.46
2013-09-30,$1.86
2013-06-30,$1.54
2013-03-31,$1.58
2012-12-31,$1.79
2012-09-30,$0.79
2012-06-30,$0.99
2012-03-31,$1.05
2011-12-31,$1.00
2011-09-30,$1.34
2011-06-30,$1.25
2011-03-31,$0.94
2010-12-31,$0.66
2010-09-30,$1.32
2010-06-30,$0.98
2010-03-31,$0.81
2009-12-31,$0.96
2009-09-30,$1.00
2009-06-30,$0.41
2009-03-31,$0.58
2008-12-31,$-1.59
2008-09-30,$-0.32
2008-06-30,$0.93
2008-03-31,$0.82
2007-12-31,$1.07
2007-09-30,$0.83
2007-06-30,$0.81
2007-03-31,$0.68
2006-12-31,$0.69
2006-09-30,$0.71
2006-06-30,$0.57
2006-03-31,$0.57
2005-12-31,$0.45
2005-09-30,$0.50
2005-06-30,$0.63
2005-03-31,$0.74
