Date,Shares
2020-12-31,126
2020-09-30,125
2020-06-30,126
2020-03-31,128
2019-12-31,136
2019-09-30,135
2019-06-30,138
2019-03-31,140
2018-12-31,148
2018-09-30,147
2018-06-30,149
2018-03-31,152
2017-12-31,157
2017-09-30,155
2017-06-30,158
2017-03-31,160
2016-12-31,168
2016-09-30,166
2016-06-30,170
2016-03-31,174
2015-12-31,184
2015-09-30,183
2015-06-30,186
2015-03-31,189
2014-12-31,195
2014-09-30,194
2014-06-30,196
2014-03-31,199
2013-12-31,207
2013-09-30,205
2013-06-30,209
2013-03-31,212
2012-12-31,223
2012-09-30,219
2012-06-30,226
2012-03-31,232
2011-12-31,246
2011-09-30,242
2011-06-30,251
2011-03-31,258
2010-12-31,262
2010-09-30,260
2010-06-30,265
2010-03-31,265
2009-12-31,244
2009-09-30,261
2009-06-30,230
2009-03-31,224
2008-12-31,225
2008-09-30,222
2008-06-30,226
2008-03-31,232
2007-12-31,240
2007-09-30,239
2007-06-30,241
2007-03-31,244
2006-12-31,249
2006-09-30,246
2006-06-30,248
2006-03-31,254
2005-12-31,247
2005-09-30,246
2005-06-30,246
2005-03-31,246
