American National Debt/Equity Ratio Historical Data,American National Debt/Equity Ratio Historical Data,American National Debt/Equity Ratio Historical Data,American National Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-03-31,$22.23B,$5.61B,3.97
2019-12-31,$22.60B,$6.00B,3.77
2019-09-30,$22.69B,$5.83B,3.89
2019-06-30,$22.62B,$5.77B,3.92
2019-03-31,$22.37B,$5.59B,4.0
2018-12-31,$21.64B,$5.27B,4.11
2018-09-30,$21.92B,$5.38B,4.07
2018-06-30,$21.59B,$5.24B,4.12
2018-03-31,$21.24B,$5.22B,4.07
2017-12-31,$21.13B,$5.26B,4.02
2017-09-30,$21.05B,$4.88B,4.31
2017-06-30,$20.65B,$4.80B,4.3
2017-03-31,$20.11B,$4.74B,4.25
2016-12-31,$19.87B,$4.66B,4.26
2016-09-30,$19.92B,$4.68B,4.25
2016-06-30,$19.67B,$4.62B,4.26
2016-03-31,$19.44B,$4.53B,4.3
2015-12-31,$19.30B,$4.46B,4.33
2015-09-30,$18.99B,$4.45B,4.27
2015-06-30,$18.82B,$4.50B,4.19
2015-03-31,$19.01B,$4.53B,4.19
2014-12-31,$19.11B,$4.44B,4.3
2014-09-30,$19.05B,$4.41B,4.32
2014-06-30,$19.08B,$4.38B,4.36
2014-03-31,$19.12B,$4.27B,4.48
2013-12-31,$19.12B,$4.20B,4.55
2013-09-30,$19.08B,$4.03B,4.74
2013-06-30,$19.03B,$3.93B,4.84
2013-03-31,$19.25B,$3.95B,4.88
2012-12-31,$19.27B,$3.84B,5.02
2012-09-30,$19.21B,$3.84B,5.01
2012-06-30,$19.03B,$3.75B,5.08
2012-03-31,$18.97B,$3.76B,5.05
2011-12-31,$18.84B,$3.65B,5.16
2011-09-30,$18.65B,$3.64B,5.13
2011-06-30,$18.74B,$3.70B,5.06
2011-03-31,$18.49B,$3.69B,5.01
2010-12-31,$17.81B,$3.64B,4.9
2010-09-30,$17.68B,$3.62B,4.89
2010-06-30,$17.21B,$3.49B,4.94
2010-03-31,$17.01B,$3.54B,4.81
2009-12-31,$16.68B,$3.47B,4.8
2009-09-30,$16.33B,$3.45B,4.74
2009-06-30,$16.00B,$3.26B,4.91
2009-03-31,$0.00B,$0.00B,0.0
2008-12-31,$15.24B,$3.14B,4.85
2008-09-30,$0.00B,$0.00B,0.0
2008-06-30,$0.00B,,0.0
2008-03-31,$0.00B,,0.0
2007-12-31,$0.00B,,0.0
2007-09-30,$0.00B,,0.0
2007-06-30,$14.68B,$3.65B,4.02
2007-03-31,$14.52B,$3.61B,4.02
2006-12-31,$14.36B,$3.58B,4.02
2006-09-30,$14.23B,$3.49B,4.08
2006-06-30,$14.12B,$3.37B,4.2
2006-03-31,$14.17B,$3.39B,4.18
2005-12-31,$14.14B,$3.38B,4.19
2005-09-30,$0.00B,,0.0
2005-06-30,$0.00B,,0.0
2005-03-31,$0.00B,,0.0
