Date,EBITDA
2020-03-31,$-286
2019-12-31,$234
2019-09-30,$95
2019-06-30,$121
2019-03-31,$299
2018-12-31,$-151
2018-09-30,$197
2018-06-30,$114
2018-03-31,$34
2017-12-31,$165
2017-09-30,$102
2017-06-30,$56
2017-03-31,$60
2016-12-31,$109
2016-09-30,$57
2016-06-30,$54
2016-03-31,$36
2015-12-31,$90
2015-09-30,$62
2015-06-30,$57
2015-03-31,$103
2014-12-31,$107
2014-09-30,$109
2014-06-30,$74
2014-03-31,$85
2013-12-31,$103
2013-09-30,$134
2013-06-30,$92
2013-03-31,$71
2012-12-31,$109
2012-09-30,$94
2012-06-30,$-71
2012-03-31,$174
2011-12-31,$-223
2011-09-30,$195
2011-06-30,$144
2011-03-31,$180
2010-12-31,$142
2010-09-30,$206
2010-06-30,$154
2010-03-31,$164
2009-12-31,$172
2009-09-30,$137
2009-06-30,$105
2009-03-31,$45
2008-12-31,$703
2008-09-30,$-60
2008-06-30,$-13
2008-03-31,$726
2007-12-31,$-530
2007-09-30,$774
2007-06-30,$53
2007-03-31,$66
2006-12-31,$172
2006-09-30,$82
2006-06-30,$71
2006-03-31,$92
2005-12-31,$800
2005-09-30,$752
2005-06-30,$736
2005-03-31,$757
