Date,EPS
2020-03-31,$-8.20
2019-12-31,$6.37
2019-09-30,$3.43
2019-06-30,$3.67
2019-03-31,$9.60
2018-12-31,$-4.35
2018-09-30,$6.44
2018-06-30,$3.12
2018-03-31,$0.70
2017-12-31,$12.78
2017-09-30,$2.72
2017-06-30,$1.33
2017-03-31,$1.48
2016-12-31,$2.21
2016-09-30,$2.20
2016-06-30,$1.21
2016-03-31,$1.09
2015-12-31,$2.34
2015-09-30,$1.56
2015-06-30,$1.30
2015-03-31,$3.82
2014-12-31,$2.57
2014-09-30,$2.49
2014-06-30,$2.11
2014-03-31,$1.94
2013-12-31,$2.44
2013-09-30,$3.07
2013-06-30,$2.16
2013-03-31,$2.23
2012-12-31,$2.46
2012-09-30,$2.20
2012-06-30,$0.76
2012-03-31,$1.69
2011-12-31,$2.11
2011-09-30,$2.16
2011-06-30,$1.09
2011-03-31,$1.78
2010-12-31,$1.35
2010-09-30,$1.76
2010-06-30,$1.00
2010-03-31,$1.30
2009-12-31,$1.32
2009-09-30,$1.23
2009-06-30,$-0.16
2009-03-31,$-1.80
2008-12-31,$-1.31
2008-09-30,$-4.69
2008-06-30,$-0.11
2008-03-31,$1.46
2007-12-31,$2.00
2007-09-30,$2.98
2007-06-30,$2.21
2007-03-31,$1.85
2006-12-31,$4.17
2006-09-30,$2.06
2006-06-30,$1.93
2006-03-31,$2.11
2005-12-31,$1.34
2005-09-30,$2.04
2005-06-30,$2.10
2005-03-31,$3.43
