Date,Shares
2020-03-31,27
2019-12-31,27
2019-09-30,27
2019-06-30,27
2019-03-31,27
2018-12-31,27
2018-09-30,27
2018-06-30,27
2018-03-31,27
2017-12-31,27
2017-09-30,27
2017-06-30,27
2017-03-31,27
2016-12-31,27
2016-09-30,27
2016-06-30,27
2016-03-31,27
2015-12-31,27
2015-09-30,27
2015-06-30,27
2015-03-31,27
2014-12-31,27
2014-09-30,27
2014-06-30,27
2014-03-31,27
2013-12-31,27
2013-09-30,27
2013-06-30,27
2013-03-31,27
2012-12-31,27
2012-09-30,27
2012-06-30,27
2012-03-31,27
2011-12-31,27
2011-09-30,27
2011-06-30,27
2011-03-31,27
2010-12-31,27
2010-09-30,27
2010-06-30,27
2010-03-31,27
2009-12-31,27
2009-09-30,27
2009-06-30,26
2009-03-31,27
2008-12-31,26
2008-09-30,27
2008-06-30,27
2008-03-31,27
2007-12-31,27
2007-09-30,27
2007-06-30,27
2007-03-31,26
2006-12-31,27
2006-09-30,27
2006-06-30,27
2006-03-31,27
2005-12-31,27
2005-09-30,26
2005-06-30,26
2005-03-31,26
