Date,EBITDA
2020-12-31,$797
2020-09-30,$533
2020-06-30,$693
2020-03-31,"$1,171"
2019-12-31,$669
2019-09-30,$505
2019-06-30,$550
2019-03-31,"$1,009"
2018-12-31,$650
2018-09-30,$402
2018-06-30,$423
2018-03-31,$838
2017-12-31,$740
2017-09-30,$397
2017-06-30,$430
2017-03-31,$389
2016-12-31,$720
2016-09-30,$449
2016-06-30,$466
2016-03-31,$495
2015-12-31,$388
2015-09-30,$547
2015-06-30,$413
2015-03-31,$577
2014-12-31,$783
2014-09-30,$568
2014-06-30,$594
2014-03-31,$615
2013-12-31,$677
2013-09-30,$521
2013-06-30,$540
2013-03-31,$568
2012-12-31,$635
2012-09-30,$500
2012-06-30,$555
2012-03-31,$561
2011-12-31,$575
2011-09-30,$472
2011-06-30,$589
2011-03-31,$542
2010-12-31,$566
2010-09-30,$324
2010-06-30,$328
2010-03-31,$331
2009-12-31,$309
2009-09-30,$250
2009-06-30,$278
2009-03-31,$426
2008-12-31,$216
2008-09-30,$296
2008-06-30,$313
2008-03-31,$337
2007-12-31,$242
2007-09-30,$306
2007-06-30,$335
2007-03-31,$325
2006-12-31,$128
2006-09-30,$230
2006-06-30,$361
2006-03-31,$355
2005-12-31,$-23
2005-09-30,$253
2005-06-30,$341
2005-03-31,$413
