Date,Shares
2020-12-31,233
2020-09-30,234
2020-06-30,234
2020-03-31,235
2019-12-31,241
2019-09-30,239
2019-06-30,243
2019-03-31,244
2018-12-31,247
2018-09-30,246
2018-06-30,247
2018-03-31,250
2017-12-31,261
2017-09-30,257
2017-06-30,262
2017-03-31,267
2016-12-31,270
2016-09-30,270
2016-06-30,270
2016-03-31,274
2015-12-31,284
2015-09-30,284
2015-06-30,287
2015-03-31,287
2014-12-31,300
2014-09-30,296
2014-06-30,302
2014-03-31,307
2013-12-31,315
2013-09-30,313
2013-06-30,317
2013-03-31,320
2012-12-31,333
2012-09-30,331
2012-06-30,336
2012-03-31,337
2011-12-31,341
2011-09-30,337
2011-06-30,343
2011-03-31,345
2010-12-31,298
2010-09-30,282
2010-06-30,283
2010-03-31,283
2009-12-31,291
2009-09-30,292
2009-06-30,293
2009-03-31,292
2008-12-31,305
2008-09-30,294
2008-06-30,305
2008-03-31,320
2007-12-31,327
2007-09-30,322
2007-06-30,322
2007-03-31,324
2006-12-31,342
2006-09-30,340
2006-06-30,345
2006-03-31,350
2005-12-31,342
2005-09-30,343
2005-06-30,339
2005-03-31,337
