Apollo Global Management Debt/Equity Ratio Historical Data,Apollo Global Management Debt/Equity Ratio Historical Data,Apollo Global Management Debt/Equity Ratio Historical Data,Apollo Global Management Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$18.16B,$5.51B,3.29
2020-09-30,$14.44B,$4.19B,3.45
2020-06-30,$13.72B,$4.24B,3.23
2020-03-31,$12.82B,$3.50B,3.67
2019-12-31,$5.50B,$3.04B,1.81
2019-09-30,$5.22B,$2.84B,1.84
2019-06-30,$4.81B,$2.54B,1.89
2019-03-31,$4.28B,$2.44B,1.75
2018-12-31,$3.54B,$2.45B,1.44
2018-09-30,$3.98B,$2.99B,1.33
2018-06-30,$3.82B,$2.82B,1.35
2018-03-31,$4.04B,$2.91B,1.39
2017-12-31,$4.09B,$2.90B,1.41
2017-09-30,$4.27B,$2.59B,1.65
2017-06-30,$3.87B,$2.35B,1.64
2017-03-31,$3.91B,$2.35B,1.67
2016-12-31,$3.76B,$1.87B,2.01
2016-09-30,$3.88B,$1.61B,2.41
2016-06-30,$3.65B,$1.52B,2.41
2016-03-31,$3.17B,$1.19B,2.67
2015-12-31,$3.17B,$1.39B,2.28
2015-09-30,$3.30B,$1.52B,2.17
2015-06-30,$3.30B,$1.60B,2.07
2015-03-31,$17.85B,$5.80B,3.08
2014-12-31,$17.23B,$5.94B,2.9
2014-09-30,$17.93B,$6.17B,2.91
2014-06-30,$15.78B,$6.67B,2.37
2014-03-31,$16.13B,$6.79B,2.38
2013-12-31,$15.79B,$6.69B,2.36
2013-09-30,$15.76B,$6.39B,2.47
2013-06-30,$14.38B,$6.24B,2.31
2013-03-31,$15.11B,$6.18B,2.45
2012-12-31,$14.93B,$5.70B,2.62
2012-09-30,$14.58B,$4.99B,2.92
2012-06-30,$14.31B,$4.92B,2.91
2012-03-31,$6.12B,$2.99B,2.05
2011-12-31,$5.33B,$2.65B,2.01
2011-09-30,$3.18B,$2.15B,1.48
2011-06-30,$3.69B,$3.71B,1.0
2011-03-31,$3.27B,$3.25B,1.01
2010-12-31,$3.47B,$3.08B,1.13
2010-09-30,$0.00B,$0.00B,0.0
2010-06-30,$0.00B,$0.00B,0.0
2010-03-31,$0.00B,$0.00B,0.0
2009-12-31,$0.00B,$0.00B,0.0
