Apollo Global Management Price/Book Ratio Historical Data,Apollo Global Management Price/Book Ratio Historical Data,Apollo Global Management Price/Book Ratio Historical Data,Apollo Global Management Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,47.03,,1.95
2020-12-31,48.41,$24.09,2.01
2020-09-30,43.73,$18.31,2.39
2020-06-30,48.3,$18.51,2.61
2020-03-31,32.08,$15.29,2.1
2019-12-31,44.83,$13.62,3.29
2019-09-30,35.13,$12.78,2.75
2019-06-30,31.35,$12.68,2.47
2019-03-31,25.46,$12.13,2.1
2018-12-31,21.7,$12.17,1.78
2018-09-30,30.04,$14.89,2.02
2018-06-30,27.36,$14.00,1.95
2018-03-31,25.11,$14.42,1.74
2017-12-31,27.82,$14.84,1.87
2017-09-30,24.7,$13.39,1.84
2017-06-30,21.32,$12.21,1.75
2017-03-31,19.25,$12.51,1.54
2016-12-31,15.02,$10.07,1.49
2016-09-30,13.68,$8.72,1.57
2016-06-30,11.32,$8.23,1.38
2016-03-31,12.6,$6.47,1.95
2015-12-31,10.96,$7.67,1.43
2015-09-30,12.15,$8.49,1.43
2015-06-30,15.36,$9.29,1.65
2015-03-31,14.75,$34.53,0.43
2014-12-31,15.53,$36.45,0.43
2014-09-30,15.21,$38.57,0.39
2014-06-30,17.35,$42.66,0.41
2014-03-31,19.24,$45.56,0.42
2013-12-31,18.48,$45.73,0.4
2013-09-30,15.95,$44.44,0.36
2013-06-30,12.95,$44.01,0.29
2013-03-31,11.38,$46.73,0.24
2012-12-31,8.71,$43.85,0.2
2012-09-30,7.17,$38.44,0.19
2012-06-30,5.96,$38.91,0.15
2012-03-31,6.71,$23.63,0.28
2011-12-31,5.64,$21.37,0.26
2011-09-30,4.58,$17.51,0.26
2011-06-30,7.56,$30.44,0.25
2011-03-31,7.81,$32.65,0.24
