Apollo Global Management ROA - Return on Assets Historical Data,Apollo Global Management ROA - Return on Assets Historical Data,Apollo Global Management ROA - Return on Assets Historical Data,Apollo Global Management ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.12B,$23.67B,0.63%
2020-09-30,$-0.15B,$18.63B,-0.96%
2020-06-30,$-0.06B,$17.96B,-0.45%
2020-03-31,$-0.34B,$16.32B,-3.36%
2019-12-31,$0.81B,$8.54B,10.52%
2019-09-30,$0.45B,$8.06B,6.46%
2019-06-30,$0.26B,$7.35B,3.88%
2019-03-31,$0.16B,$6.72B,2.45%
2018-12-31,$-0.04B,$5.99B,-0.63%
2018-09-30,$0.34B,$6.97B,4.92%
2018-06-30,$0.38B,$6.64B,5.48%
2018-03-31,$0.41B,$6.95B,6.04%
2017-12-31,$0.62B,$6.99B,9.36%
2017-09-30,$0.60B,$6.86B,9.58%
2017-06-30,$0.49B,$6.22B,8.37%
2017-03-31,$0.58B,$6.26B,10.31%
2016-12-31,$0.40B,$5.63B,7.81%
2016-09-30,$0.24B,$5.49B,4.95%
2016-06-30,$0.19B,$5.16B,3.98%
2016-03-31,$0.07B,$4.36B,1.50%
2015-12-31,$0.13B,$4.56B,1.41%
2015-09-30,$0.15B,$4.82B,1.06%
2015-06-30,$0.11B,$4.90B,0.59%
2015-03-31,$0.13B,$23.65B,0.54%
2014-12-31,$0.17B,$23.17B,0.73%
2014-09-30,$0.31B,$24.10B,1.33%
2014-06-30,$0.50B,$22.45B,2.20%
2014-03-31,$0.48B,$22.91B,2.19%
2013-12-31,$0.66B,$22.48B,3.05%
2013-09-30,$0.67B,$22.15B,3.18%
2013-06-30,$0.56B,$20.62B,2.74%
2013-03-31,$0.46B,$21.29B,2.29%
2012-12-31,$0.31B,$20.64B,1.82%
2012-09-30,$0.15B,$19.57B,1.08%
2012-06-30,$-0.40B,$19.23B,-3.83%
2012-03-31,$-0.41B,$9.10B,-5.49%
2011-12-31,$-0.47B,$7.98B,-6.89%
2011-09-30,$-0.27B,$5.33B,-4.25%
2011-06-30,$0.22B,$7.39B,4.24%
2011-03-31,$0.19B,$6.52B,5.91%
2010-12-31,$0.09B,$6.55B,5.74%
