Date,EBIT
2020-12-31,$318
2020-09-30,$247
2020-06-30,$246
2020-03-31,$319
2019-12-31,$272
2019-09-30,$293
2019-06-30,$281
2019-03-31,$272
2018-12-31,$265
2018-09-30,$250
2018-06-30,$229
2018-03-31,$209
2017-12-31,$204
2017-09-30,$214
2017-06-30,$186
2017-03-31,$151
2016-12-31,$194
2016-09-30,$185
2016-06-30,$154
2016-03-31,$168
2015-12-31,$214
2015-09-30,$188
2015-06-30,$168
2015-03-31,$184
2014-12-31,$187
2014-09-30,$167
2014-06-30,$148
2014-03-31,$170
2013-12-31,$161
2013-09-30,$175
2013-06-30,$138
2013-03-31,$142
2012-12-31,$137
2012-09-30,$127
2012-06-30,$126
2012-03-31,$113
2011-12-31,$128
2011-09-30,$130
2011-06-30,$74
2011-03-31,$80
2010-12-31,$93
2010-09-30,$94
2010-06-30,$73
2010-03-31,$40
2009-12-31,$42
2009-09-30,$39
2009-06-30,$39
2009-03-31,$38
2008-12-31,$40
2008-09-30,$43
2008-06-30,$44
2008-03-31,$36
2007-12-31,$39
2007-09-30,$34
2007-06-30,$33
2007-03-31,$28
2006-12-31,$26
2006-09-30,$23
2006-06-30,$19
2006-03-31,$14
2005-12-31,$13
2005-09-30,$7
2005-06-30,$6
2005-03-31,$4
