Date,EBITDA
2020-12-31,$327
2020-09-30,$255
2020-06-30,$253
2020-03-31,$326
2019-12-31,$279
2019-09-30,$300
2019-06-30,$287
2019-03-31,$278
2018-12-31,$270
2018-09-30,$256
2018-06-30,$240
2018-03-31,$210
2017-12-31,$209
2017-09-30,$221
2017-06-30,$194
2017-03-31,$155
2016-12-31,$191
2016-09-30,$191
2016-06-30,$159
2016-03-31,$174
2015-12-31,$223
2015-09-30,$196
2015-06-30,$176
2015-03-31,$192
2014-12-31,$195
2014-09-30,$175
2014-06-30,$156
2014-03-31,$178
2013-12-31,$168
2013-09-30,$182
2013-06-30,$145
2013-03-31,$149
2012-12-31,$144
2012-09-30,$133
2012-06-30,$132
2012-03-31,$119
2011-12-31,$134
2011-09-30,$136
2011-06-30,$80
2011-03-31,$87
2010-12-31,$98
2010-09-30,$99
2010-06-30,$78
2010-03-31,$43
2009-12-31,$43
2009-09-30,$40
2009-06-30,$41
2009-03-31,$39
2008-12-31,$41
2008-09-30,$44
2008-06-30,$45
2008-03-31,$37
2007-12-31,$39
2007-09-30,$35
2007-06-30,$34
2007-03-31,$29
2006-12-31,$27
2006-09-30,$23
2006-06-30,$20
2006-03-31,$14
2005-12-31,$13
2005-09-30,$7
2005-06-30,$6
2005-03-31,$4
