Date,EPS
2020-12-31,$0.87
2020-09-30,$1.04
2020-06-30,$0.65
2020-03-31,$-1.42
2019-12-31,$0.48
2019-09-30,$0.41
2019-06-30,$0.47
2019-03-31,$0.50
2018-12-31,$0.35
2018-09-30,$0.49
2018-06-30,$0.60
2018-03-31,$0.57
2017-12-31,$0.54
2017-09-30,$0.33
2017-06-30,$0.42
2017-03-31,$0.28
2016-12-31,$0.24
2016-09-30,$0.35
2016-06-30,$0.50
2016-03-31,$0.42
2015-12-31,$0.04
2015-09-30,$0.37
2015-06-30,$0.47
2015-03-31,$0.32
2014-12-31,$0.50
2014-09-30,$0.57
2014-06-30,$0.48
2014-03-31,$0.39
2013-12-31,$0.49
2013-09-30,$0.52
2013-06-30,$0.50
2013-03-31,$0.32
2012-12-31,$0.72
2012-09-30,$0.59
2012-06-30,$0.41
2012-03-31,$0.49
2011-12-31,$0.57
2011-09-30,$0.20
2011-06-30,$0.18
2011-03-31,$0.61
2010-12-31,$0.90
2010-09-30,$0.67
2010-06-30,$1.73
2010-03-31,$0.61
2009-12-31,$0.65
2009-09-30,$0.62
2009-06-30,$0.36
2009-03-31,$0.36
2008-12-31,$-1.29
2008-09-30,$-0.43
2008-06-30,$0.04
2008-03-31,$0.12
2007-12-31,$0.10
2007-09-30,$0.32
2007-06-30,$0.48
2007-03-31,$0.44
2006-12-31,$0.39
2006-09-30,$0.39
2006-06-30,$0.44
2006-03-31,$0.36
2005-12-31,$0.34
2005-09-30,$0.42
2005-06-30,$0.33
2005-03-31,$0.69
