Ares Capital Price/Book Ratio Historical Data,Ares Capital Price/Book Ratio Historical Data,Ares Capital Price/Book Ratio Historical Data,Ares Capital Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,19.35,,1.14
2020-12-31,16.53,$16.96,0.97
2020-09-30,13.33,$16.46,0.81
2020-06-30,13.43,$15.82,0.85
2020-03-31,9.76,$15.56,0.63
2019-12-31,16.43,$17.32,0.95
2019-09-30,16.05,$17.27,0.93
2019-06-30,15.12,$17.26,0.88
2019-03-31,14.11,$17.23,0.82
2018-12-31,12.52,$17.14,0.73
2018-09-30,13.48,$17.17,0.79
2018-06-30,12.61,$17.07,0.74
2018-03-31,11.9,$16.85,0.71
2017-12-31,11.51,$16.66,0.69
2017-09-30,11.72,$16.50,0.71
2017-06-30,11.43,$16.55,0.69
2017-03-31,11.86,$16.51,0.72
2016-12-31,11.01,$16.45,0.67
2016-09-30,10.11,$16.59,0.61
2016-06-30,9.04,$16.62,0.54
2016-03-31,9.2,$16.50,0.56
2015-12-31,8.6,$16.47,0.52
2015-09-30,8.52,$16.79,0.51
2015-06-30,9.44,$16.80,0.56
2015-03-31,9.62,$16.71,0.58
2014-12-31,8.52,$16.82,0.51
2014-09-30,8.62,$16.71,0.52
2014-06-30,9.31,$16.52,0.56
2014-03-31,8.99,$16.42,0.55
2013-12-31,8.84,$16.46,0.54
2013-09-30,8.4,$16.35,0.51
2013-06-30,8.17,$16.21,0.5
2013-03-31,8.41,$15.99,0.53
2012-12-31,7.96,$16.04,0.5
2012-09-30,7.61,$15.74,0.48
2012-06-30,6.91,$15.51,0.45
2012-03-31,6.91,$15.47,0.45
2011-12-31,6.39,$15.34,0.42
2011-09-30,5.56,$15.13,0.37
2011-06-30,6.33,$15.28,0.41
2011-03-31,6.54,$15.45,0.42
2010-12-31,6.23,$14.92,0.42
2010-09-30,5.8,$14.43,0.4
2010-06-30,4.54,$14.11,0.32
2010-03-31,5.23,$11.78,0.44
2009-12-31,4.29,$11.44,0.37
2009-09-30,3.69,$11.16,0.33
2009-06-30,2.6,$11.21,0.23
2009-03-31,1.5,$11.20,0.13
2008-12-31,1.74,$11.27,0.15
2008-09-30,2.66,$12.83,0.21
2008-06-30,2.48,$13.67,0.18
2008-03-31,2.99,$15.17,0.2
2007-12-31,3.37,$15.47,0.22
2007-09-30,3.65,$15.74,0.23
2007-06-30,3.68,$15.84,0.23
2007-03-31,3.87,$15.34,0.25
2006-12-31,3.99,$15.17,0.26
2006-09-30,3.54,$15.06,0.24
2006-06-30,3.36,$15.10,0.22
2006-03-31,3.33,$15.03,0.22
