Date,Shares
2020-12-31,424
2020-09-30,423
2020-06-30,423
2020-03-31,430
2019-12-31,427
2019-09-30,427
2019-06-30,426
2019-03-31,426
2018-12-31,426
2018-09-30,426
2018-06-30,426
2018-03-31,426
2017-12-31,425
2017-09-30,426
2017-06-30,426
2017-03-31,422
2016-12-31,314
2016-09-30,314
2016-06-30,314
2016-03-31,314
2015-12-31,314
2015-09-30,314
2015-06-30,314
2015-03-31,314
2014-12-31,305
2014-09-30,311
2014-06-30,298
2014-03-31,298
2013-12-31,267
2013-09-30,268
2013-06-30,266
2013-03-31,249
2012-12-31,230
2012-09-30,233
2012-06-30,222
2012-03-31,217
2011-12-31,205
2011-09-30,205
2011-06-30,205
2011-03-31,204
2010-12-31,177
2010-09-30,192
2010-06-30,191
2010-03-31,125
2009-12-31,102
2009-09-30,103
2009-06-30,97
2009-03-31,97
2008-12-31,90
2008-09-30,97
2008-06-30,90
2008-03-31,74
2007-12-31,68
2007-09-30,72
2007-06-30,70
2007-03-31,53
2006-12-31,44
2006-09-30,47
2006-06-30,38
2006-03-31,38
2005-12-31,23
2005-09-30,23
2005-06-30,23
2005-03-31,12
