Ares Management ROA - Return on Assets Historical Data,Ares Management ROA - Return on Assets Historical Data,Ares Management ROA - Return on Assets Historical Data,Ares Management ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-06-30,$0.04B,$13.72B,0.34%
2020-03-31,$0.02B,$13.22B,0.16%
2019-06-30,$0.08B,$10.98B,0.73%
2019-03-31,$0.03B,$10.49B,0.32%
2018-09-30,$0.06B,$10.42B,0.66%
2018-06-30,$0.07B,$10.15B,0.84%
2018-03-31,$0.14B,$8.56B,1.72%
2017-12-31,$0.05B,$8.56B,0.76%
2017-09-30,$0.05B,$8.02B,0.74%
2017-06-30,$0.06B,$6.24B,1.09%
2017-03-31,$0.06B,$5.72B,1.06%
2016-12-31,$0.10B,$5.83B,2.00%
2016-09-30,$0.07B,$5.32B,1.54%
2016-06-30,$0.02B,$4.67B,0.53%
2016-03-31,$-0.00B,$4.34B,-0.02%
2015-12-31,$0.02B,$4.32B,0.15%
2015-09-30,$0.02B,$4.76B,0.13%
2015-06-30,$0.05B,$20.44B,0.22%
2015-03-31,$0.05B,$21.62B,0.24%
