Associated Banc-Corp Debt/Equity Ratio Historical Data,Associated Banc-Corp Debt/Equity Ratio Historical Data,Associated Banc-Corp Debt/Equity Ratio Historical Data,Associated Banc-Corp Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$29.33B,$4.09B,7.17
2020-09-30,$30.65B,$4.05B,7.58
2020-06-30,$31.48B,$4.02B,7.82
2020-03-31,$30.12B,$3.79B,7.95
2019-12-31,$28.46B,$3.92B,7.26
2019-09-30,$28.68B,$3.92B,7.31
2019-06-30,$29.37B,$3.90B,7.53
2019-03-31,$29.87B,$3.84B,7.79
2018-12-31,$29.83B,$3.78B,7.89
2018-09-30,$29.69B,$3.80B,7.82
2018-06-30,$29.88B,$3.77B,7.93
2018-03-31,$29.65B,$3.71B,7.99
2017-12-31,$27.25B,$3.24B,8.42
2017-09-30,$26.86B,$3.20B,8.39
2017-06-30,$26.58B,$3.19B,8.33
2017-03-31,$25.97B,$3.15B,8.26
2016-12-31,$26.05B,$3.09B,8.43
2016-09-30,$26.06B,$3.10B,8.41
2016-06-30,$26.01B,$3.03B,8.58
2016-03-31,$25.20B,$2.98B,8.45
2015-12-31,$24.78B,$2.94B,8.44
2015-09-30,$24.51B,$2.95B,8.3
2015-06-30,$24.28B,$2.90B,8.36
2015-03-31,$24.19B,$2.88B,8.39
2014-12-31,$24.02B,$2.80B,8.58
2014-09-30,$22.78B,$2.87B,7.94
2014-06-30,$22.80B,$2.93B,7.78
2014-03-31,$21.91B,$2.90B,7.55
2013-12-31,$21.34B,$2.89B,7.38
2013-09-30,$20.82B,$2.87B,7.25
2013-06-30,$20.74B,$2.88B,7.21
2013-03-31,$20.34B,$2.94B,6.93
2012-12-31,$20.55B,$2.94B,7.0
2012-09-30,$19.79B,$2.95B,6.71
2012-06-30,$19.17B,$2.91B,6.59
2012-03-31,$19.01B,$2.90B,6.55
2011-12-31,$19.06B,$2.87B,6.65
2011-09-30,$19.05B,$2.85B,6.68
2011-06-30,$19.05B,$3.00B,6.35
2011-03-31,$18.28B,$3.20B,5.72
2010-12-31,$18.63B,$3.16B,5.9
2010-09-30,$19.32B,$3.20B,6.04
2010-06-30,$19.57B,$3.19B,6.14
2010-03-31,$19.93B,$3.18B,6.27
2009-12-31,$20.14B,$2.74B,7.35
2009-09-30,$19.96B,$2.93B,6.82
2009-06-30,$21.14B,$2.87B,7.36
2009-03-31,$21.45B,$2.90B,7.41
2008-12-31,$21.32B,$2.88B,7.41
2008-09-30,$20.12B,$2.36B,8.51
2008-06-30,$19.95B,$2.35B,8.48
2008-03-31,$19.52B,$2.38B,8.19
2007-12-31,$19.26B,$2.33B,8.27
2007-09-30,$18.65B,$2.29B,8.14
2007-06-30,$18.62B,$2.23B,8.35
2007-03-31,$18.27B,$2.24B,8.17
2006-12-31,$18.62B,$2.25B,8.29
2006-09-30,$18.66B,$2.27B,8.22
2006-06-30,$18.85B,$2.28B,8.29
2006-03-31,$19.27B,$2.25B,8.59
2005-12-31,$19.78B,$2.33B,8.51
2005-09-30,$18.68B,$2.06B,9.06
2005-06-30,$18.74B,$2.02B,9.28
2005-03-31,$18.48B,$2.03B,9.12
