Date,EPS
2020-12-31,$0.39
2020-09-30,$0.26
2020-06-30,$0.94
2020-03-31,$0.27
2019-12-31,$0.43
2019-09-30,$0.49
2019-06-30,$0.49
2019-03-31,$0.50
2018-12-31,$0.51
2018-09-30,$0.48
2018-06-30,$0.50
2018-03-31,$0.40
2017-12-31,$0.30
2017-09-30,$0.41
2017-06-30,$0.36
2017-03-31,$0.35
2016-12-31,$0.34
2016-09-30,$0.34
2016-06-30,$0.31
2016-03-31,$0.27
2015-12-31,$0.27
2015-09-30,$0.31
2015-06-30,$0.31
2015-03-31,$0.30
2014-12-31,$0.30
2014-09-30,$0.31
2014-06-30,$0.28
2014-03-31,$0.27
2013-12-31,$0.28
2013-09-30,$0.27
2013-06-30,$0.28
2013-03-31,$0.27
2012-12-31,$0.26
2012-09-30,$0.26
2012-06-30,$0.24
2012-03-31,$0.24
2011-12-31,$0.22
2011-09-30,$0.20
2011-06-30,$0.15
2011-03-31,$0.09
2010-12-31,$0.04
2010-09-30,$0.04
2010-06-30,$-0.06
2010-03-31,$-0.20
2009-12-31,$-1.42
2009-09-30,$0.07
2009-06-30,$-0.19
2009-03-31,$0.28
2008-12-31,$0.10
2008-09-30,$0.30
2008-06-30,$0.37
2008-03-31,$0.52
2007-12-31,$0.50
2007-09-30,$0.56
2007-06-30,$0.59
2007-03-31,$0.57
2006-12-31,$0.57
2006-09-30,$0.58
2006-06-30,$0.63
2006-03-31,$0.60
2005-12-31,$0.64
2005-09-30,$0.63
2005-06-30,$0.57
2005-03-31,$0.59
