Associated Banc-Corp ROA - Return on Assets Historical Data,Associated Banc-Corp ROA - Return on Assets Historical Data,Associated Banc-Corp ROA - Return on Assets Historical Data,Associated Banc-Corp ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.29B,$33.42B,0.84%
2020-09-30,$0.30B,$34.70B,0.86%
2020-06-30,$0.34B,$35.50B,1.00%
2020-03-31,$0.27B,$33.91B,0.82%
2019-12-31,$0.31B,$32.39B,0.95%
2019-09-30,$0.33B,$32.60B,0.99%
2019-06-30,$0.33B,$33.27B,0.99%
2019-03-31,$0.34B,$33.70B,1.01%
2018-12-31,$0.32B,$33.62B,0.96%
2018-09-30,$0.28B,$33.49B,0.87%
2018-06-30,$0.26B,$33.65B,0.83%
2018-03-31,$0.23B,$33.37B,0.75%
2017-12-31,$0.22B,$30.48B,0.74%
2017-09-30,$0.23B,$30.07B,0.76%
2017-06-30,$0.21B,$29.77B,0.73%
2017-03-31,$0.21B,$29.11B,0.70%
2016-12-31,$0.19B,$29.14B,0.66%
2016-09-30,$0.18B,$29.15B,0.62%
2016-06-30,$0.17B,$29.04B,0.62%
2016-03-31,$0.17B,$28.18B,0.63%
2015-12-31,$0.18B,$27.71B,0.65%
2015-09-30,$0.19B,$27.47B,0.69%
2015-06-30,$0.19B,$27.19B,0.71%
2015-03-31,$0.19B,$27.07B,0.71%
2014-12-31,$0.19B,$26.82B,0.72%
2014-09-30,$0.18B,$25.65B,0.73%
2014-06-30,$0.18B,$25.73B,0.73%
2014-03-31,$0.18B,$24.81B,0.75%
2013-12-31,$0.18B,$24.23B,0.77%
2013-09-30,$0.18B,$23.69B,0.77%
2013-06-30,$0.18B,$23.62B,0.79%
2013-03-31,$0.18B,$23.28B,0.78%
2012-12-31,$0.17B,$23.49B,0.77%
2012-09-30,$0.17B,$22.74B,0.76%
2012-06-30,$0.16B,$22.08B,0.72%
2012-03-31,$0.14B,$21.91B,0.64%
2011-12-31,$0.12B,$21.92B,0.53%
2011-09-30,$0.08B,$21.90B,0.38%
2011-06-30,$0.06B,$22.05B,0.25%
2011-03-31,$0.02B,$21.47B,0.09%
2010-12-31,$-0.03B,$21.79B,-0.13%
2010-09-30,$-0.22B,$22.53B,-0.96%
2010-06-30,$-0.22B,$22.76B,-0.94%
2010-03-31,$-0.23B,$23.11B,-0.99%
2009-12-31,$-0.16B,$22.87B,-0.69%
2009-09-30,$0.03B,$22.88B,0.14%
2009-06-30,$0.06B,$24.01B,0.26%
2009-03-31,$0.13B,$24.35B,0.57%
2008-12-31,$0.17B,$24.19B,0.73%
2008-09-30,$0.22B,$22.49B,0.98%
2008-06-30,$0.25B,$22.30B,1.15%
2008-03-31,$0.28B,$21.90B,1.31%
2007-12-31,$0.29B,$21.59B,1.36%
2007-09-30,$0.30B,$20.94B,1.42%
2007-06-30,$0.30B,$20.85B,1.45%
2007-03-31,$0.31B,$20.51B,1.48%
2006-12-31,$0.32B,$20.86B,1.51%
2006-09-30,$0.33B,$20.93B,1.55%
2006-06-30,$0.34B,$21.13B,1.57%
2006-03-31,$0.33B,$21.52B,1.53%
2005-12-31,$0.32B,$22.10B,1.52%
