Date,Shares
2020-12-31,154
2020-09-30,153
2020-06-30,153
2020-03-31,156
2019-12-31,162
2019-09-30,160
2019-06-30,164
2019-03-31,165
2018-12-31,170
2018-09-30,173
2018-06-30,173
2018-03-31,166
2017-12-31,154
2017-09-30,153
2017-06-30,154
2017-03-31,154
2016-12-31,150
2016-09-30,150
2016-06-30,150
2016-03-31,149
2015-12-31,151
2015-09-30,150
2015-06-30,151
2015-03-31,151
2014-12-31,158
2014-09-30,157
2014-06-30,161
2014-03-31,162
2013-12-31,166
2013-09-30,165
2013-06-30,167
2013-03-31,168
2012-12-31,172
2012-09-30,172
2012-06-30,173
2012-03-31,174
2011-12-31,173
2011-09-30,173
2011-06-30,173
2011-03-31,173
2010-12-31,171
2010-09-30,173
2010-06-30,173
2010-03-31,166
2009-12-31,128
2009-09-30,128
2009-06-30,128
2009-03-31,128
2008-12-31,128
2008-09-30,128
2008-06-30,128
2008-03-31,128
2007-12-31,128
2007-09-30,128
2007-06-30,129
2007-03-31,129
2006-12-31,133
2006-09-30,133
2006-06-30,133
2006-03-31,136
2005-12-31,132
2005-09-30,129
2005-06-30,130
2005-03-31,131
