Date,EPS
2020-12-31,$1.77
2020-09-30,$1.30
2020-06-30,$0.29
2020-03-31,$0.41
2019-12-31,$2.04
2019-09-30,$2.08
2019-06-30,$2.07
2019-03-31,$1.80
2018-12-31,$2.33
2018-09-30,$1.88
2018-06-30,$1.84
2018-03-31,$1.86
2017-12-31,$-1.34
2017-09-30,$1.51
2017-06-30,$1.47
2017-03-31,$1.35
2016-12-31,$0.86
2016-09-30,$1.20
2016-06-30,$2.10
2016-03-31,$1.45
2015-12-31,$0.91
2015-09-30,$1.24
2015-06-30,$1.42
2015-03-31,$1.48
2014-12-31,$1.40
2014-09-30,$1.40
2014-06-30,$1.43
2014-03-31,$1.33
2013-12-31,$1.21
2013-09-30,$1.25
2013-06-30,$1.27
2013-03-31,$1.15
2012-12-31,$0.58
2012-09-30,$1.09
2012-06-30,$1.15
2012-03-31,$1.07
2011-12-31,$1.02
2011-09-30,$1.03
2011-06-30,$1.10
2011-03-31,$0.97
2010-12-31,$0.88
2010-09-30,$0.90
2010-06-30,$0.84
2010-03-31,$0.73
2009-12-31,$0.61
2009-09-30,$0.53
2009-06-30,$0.09
2009-03-31,$0.31
2008-12-31,$0.21
2008-09-30,$0.70
2008-06-30,$0.56
2008-03-31,$0.85
2007-12-31,$0.69
2007-09-30,$0.90
2007-06-30,$0.88
2007-03-31,$0.87
2006-12-31,$0.75
2006-09-30,$0.79
2006-06-30,$0.76
2006-03-31,$0.69
2005-12-31,$0.59
2005-09-30,$0.82
2005-06-30,$0.81
2005-03-31,$0.75
