Date,Shares
2020-12-31,806
2020-09-30,805
2020-06-30,805
2020-03-31,808
2019-12-31,830
2019-09-30,827
2019-06-30,836
2019-03-31,843
2018-12-31,859
2018-09-30,860
2018-06-30,862
2018-03-31,861
2017-12-31,886
2017-09-30,881
2017-06-30,893
2017-03-31,903
2016-12-31,935
2016-09-30,923
2016-06-30,941
2016-03-31,963
2015-12-31,1003
2015-09-30,997
2015-06-30,1013
2015-03-31,1023
2014-12-31,1051
2014-09-30,1047
2014-06-30,1058
2014-03-31,1067
2013-12-31,1089
2013-09-30,1081
2013-06-30,1097
2013-03-31,1106
2012-12-31,1141
2012-09-30,1132
2012-06-30,1152
2012-03-31,1166
2011-12-31,1184
2011-09-30,1181
2011-06-30,1197
2011-03-31,1198
2010-12-31,1195
2010-09-30,1199
2010-06-30,1197
2010-03-31,1191
2009-12-31,1171
2009-09-30,1181
2009-06-30,1165
2009-03-31,1156
2008-12-31,1156
2008-09-30,1158
2008-06-30,1163
2008-03-31,1163
2007-12-31,1193
2007-09-30,1192
2007-06-30,1203
2007-03-31,1210
2006-12-31,1238
2006-09-30,1227
2006-06-30,1242
2006-03-31,1258
2005-12-31,1258
2005-09-30,1254
2005-06-30,1254
2005-03-31,1264
