Date,Shares
2020-12-31,8797
2020-09-30,8778
2020-06-30,8768
2020-03-31,8863
2019-12-31,9443
2019-09-30,9353
2019-06-30,9560
2019-03-31,9787
2018-12-31,10237
2018-09-30,10171
2018-06-30,10309
2018-03-31,10473
2017-12-31,10778
2017-09-30,10747
2017-06-30,10835
2017-03-31,10920
2016-12-31,11047
2016-09-30,11000
2016-06-30,11059
2016-03-31,11100
2015-12-31,11236
2015-09-30,11197
2015-06-30,11238
2015-03-31,11267
2014-12-31,10585
2014-09-30,10516
2014-06-30,11265
2014-03-31,10561
2013-12-31,11491
2013-09-30,11482
2013-06-30,11525
2013-03-31,11155
2012-12-31,10841
2012-09-30,10776
2012-06-30,11556
2012-03-31,10762
2011-12-31,10255
2011-09-30,10464
2011-06-30,10095
2011-03-31,10181
2010-12-31,9790
2010-09-30,9976
2010-06-30,10030
2010-03-31,10005
2009-12-31,7729
2009-09-30,8634
2009-06-30,7270
2009-03-31,6393
2008-12-31,4596
2008-09-30,4548
2008-06-30,4444
2008-03-31,4461
2007-12-31,4463
2007-09-30,4476
2007-06-30,4477
2007-03-31,4497
2006-12-31,4596
2006-09-30,4571
2006-06-30,4601
2006-03-31,4666
2005-12-31,4068
2005-09-30,4055
2005-06-30,4065
2005-03-31,4099
