Franklin Resources Debt/Equity Ratio Historical Data,Franklin Resources Debt/Equity Ratio Historical Data,Franklin Resources Debt/Equity Ratio Historical Data,Franklin Resources Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$9.81B,$11.42B,0.86
2020-09-30,$9.25B,$10.97B,0.84
2020-06-30,$4.61B,$11.00B,0.42
2020-03-31,$3.91B,$10.75B,0.36
2019-12-31,$4.17B,$10.83B,0.39
2019-09-30,$3.91B,$10.62B,0.37
2019-06-30,$3.90B,$10.57B,0.37
2019-03-31,$3.74B,$10.50B,0.36
2018-12-31,$3.87B,$10.08B,0.38
2018-09-30,$4.18B,$10.21B,0.41
2018-06-30,$5.34B,$10.19B,0.52
2018-03-31,$7.29B,$10.40B,0.7
2017-12-31,$5.99B,$12.08B,0.5
2017-09-30,$4.60B,$12.94B,0.36
2017-06-30,$4.77B,$12.71B,0.38
2017-03-31,$4.74B,$12.47B,0.38
2016-12-31,$3.96B,$12.25B,0.32
2016-09-30,$3.57B,$12.53B,0.29
2016-06-30,$3.63B,$12.37B,0.29
2016-03-31,$3.49B,$12.40B,0.28
2015-12-31,$3.74B,$12.42B,0.3
2015-09-30,$3.84B,$12.50B,0.31
2015-06-30,$3.96B,$12.71B,0.31
2015-03-31,$4.06B,$12.43B,0.33
2014-12-31,$4.14B,$12.16B,0.34
2014-09-30,$4.15B,$12.21B,0.34
2014-06-30,$4.77B,$11.92B,0.4
2014-03-31,$4.66B,$11.47B,0.41
2013-12-31,$4.83B,$11.08B,0.44
2013-09-30,$4.71B,$10.69B,0.44
2013-06-30,$4.92B,$10.40B,0.47
2013-03-31,$4.73B,$10.08B,0.47
2012-12-31,$4.82B,$9.54B,0.51
2012-09-30,$4.99B,$9.76B,0.51
2012-06-30,$4.33B,$9.31B,0.47
2012-03-31,$4.31B,$9.35B,0.46
2011-12-31,$4.47B,$8.93B,0.5
2011-09-30,$4.67B,$9.10B,0.51
2011-06-30,$4.39B,$8.76B,0.5
2011-03-31,$4.41B,$8.42B,0.52
2010-12-31,$4.26B,$8.13B,0.52
2010-09-30,$2.98B,$7.73B,0.39
2010-06-30,$2.98B,$7.43B,0.4
2010-03-31,$2.13B,$7.39B,0.29
2009-12-31,$2.09B,$7.14B,0.29
2009-09-30,$1.83B,$7.63B,0.24
2009-06-30,$1.90B,$7.34B,0.26
2009-03-31,$1.78B,$7.05B,0.25
2008-12-31,$1.95B,$7.04B,0.28
2008-09-30,$2.10B,$7.07B,0.3
2008-06-30,$2.19B,$7.16B,0.31
2008-03-31,$2.96B,$6.98B,0.42
2007-12-31,$2.66B,$7.01B,0.38
2007-09-30,$2.60B,$7.33B,0.36
2007-06-30,$2.44B,$7.01B,0.35
2007-03-31,$2.59B,$7.03B,0.37
2006-12-31,$2.55B,$7.12B,0.36
2006-09-30,$2.82B,$6.69B,0.42
2006-06-30,$2.67B,$6.31B,0.42
2006-03-31,$2.62B,$6.54B,0.4
2005-12-31,$2.60B,$6.29B,0.41
2005-09-30,$3.21B,$5.68B,0.57
2005-06-30,$3.23B,$5.30B,0.61
2005-03-31,$3.64B,$5.06B,0.72
