Date,EPS
2020-12-31,$0.67
2020-09-30,$0.15
2020-06-30,$0.58
2020-03-31,$0.16
2019-12-31,$0.70
2019-09-30,$0.61
2019-06-30,$0.48
2019-03-31,$0.72
2018-12-31,$0.54
2018-09-30,$0.92
2018-06-30,$0.75
2018-03-31,$0.78
2017-12-31,$-1.06
2017-09-30,$0.77
2017-06-30,$0.73
2017-03-31,$0.74
2016-12-31,$0.77
2016-09-30,$0.82
2016-06-30,$0.77
2016-03-31,$0.61
2015-12-31,$0.74
2015-09-30,$0.58
2015-06-30,$0.82
2015-03-31,$0.98
2014-12-31,$0.91
2014-09-30,$1.02
2014-06-30,$0.92
2014-03-31,$0.89
2013-12-31,$0.96
2013-09-30,$0.80
2013-06-30,$0.86
2013-03-31,$0.90
2012-12-31,$0.81
2012-09-30,$0.76
2012-06-30,$0.71
2012-03-31,$0.77
2011-12-31,$0.73
2011-09-30,$0.62
2011-06-30,$0.75
2011-03-31,$0.75
2010-12-31,$0.74
2010-09-30,$0.55
2010-06-30,$0.53
2010-03-31,$0.52
2009-12-31,$0.51
2009-09-30,$0.53
2009-06-30,$0.43
2009-03-31,$0.16
2008-12-31,$0.17
2008-09-30,$0.42
2008-06-30,$0.57
2008-03-31,$0.51
2007-12-31,$0.71
2007-09-30,$0.59
2007-06-30,$0.62
2007-03-31,$0.58
2006-12-31,$0.56
2006-09-30,$0.50
2006-06-30,$0.47
2006-03-31,$0.25
2005-12-31,$0.40
2005-09-30,$0.43
2005-06-30,$0.33
2005-03-31,$0.28
