Franklin Resources Price/Book Ratio Historical Data,Franklin Resources Price/Book Ratio Historical Data,Franklin Resources Price/Book Ratio Historical Data,Franklin Resources Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,30.68,,1.36
2020-12-31,24.75,$22.59,1.1
2020-09-30,19.93,$22.16,0.9
2020-06-30,20.01,$22.21,0.9
2020-03-31,15.92,$21.71,0.73
2019-12-31,24.42,$21.77,1.12
2019-09-30,26.84,$21.28,1.26
2019-06-30,32.07,$20.96,1.53
2019-03-31,30.32,$20.68,1.47
2018-12-31,26.92,$19.70,1.37
2018-09-30,27.36,$19.66,1.39
2018-06-30,28.62,$19.26,1.49
2018-03-31,30.75,$19.20,1.6
2017-12-31,35.09,$21.87,1.6
2017-09-30,35.86,$23.31,1.54
2017-06-30,35.93,$22.77,1.58
2017-03-31,33.65,$22.19,1.52
2016-12-31,31.45,$21.65,1.45
2016-09-30,28.12,$21.97,1.28
2016-06-30,26.25,$21.45,1.22
2016-03-31,30.54,$21.16,1.44
2015-12-31,28.66,$20.87,1.37
2015-09-30,28.87,$20.71,1.39
2015-06-30,37.83,$20.68,1.83
2015-03-31,39.48,$20.08,1.97
2014-12-31,42.47,$19.53,2.17
2014-09-30,41.41,$19.61,2.11
2014-06-30,43.76,$19.06,2.3
2014-03-31,40.91,$18.28,2.24
2013-12-31,43.49,$17.57,2.48
2013-09-30,38.0,$16.94,2.24
2013-06-30,34.02,$16.36,2.08
2013-03-31,37.64,$15.80,2.38
2012-12-31,31.31,$14.95,2.09
2012-09-30,30.38,$15.33,1.98
2012-06-30,26.9,$14.59,1.84
2012-03-31,29.98,$14.49,2.07
2011-12-31,23.17,$13.79,1.68
2011-09-30,22.52,$13.94,1.62
2011-06-30,30.83,$13.25,2.33
2011-03-31,29.32,$12.65,2.32
2010-12-31,26.01,$12.14,2.14
2010-09-30,24.95,$11.50,2.17
2010-06-30,20.07,$10.99,1.83
2010-03-31,25.76,$10.83,2.38
2009-12-31,24.43,$10.43,2.34
2009-09-30,22.58,$11.10,2.03
2009-06-30,16.16,$10.62,1.52
2009-03-31,12.06,$10.13,1.19
2008-12-31,14.22,$10.07,1.41
2008-09-30,19.53,$10.13,1.93
2008-06-30,20.32,$10.17,2.0
2008-03-31,21.45,$9.85,2.18
2007-12-31,25.26,$9.75,2.59
2007-09-30,28.07,$9.96,2.82
2007-06-30,29.16,$9.51,3.07
2007-03-31,26.57,$9.39,2.83
2006-12-31,24.19,$9.36,2.59
2006-09-30,23.14,$8.80,2.63
2006-06-30,19.02,$8.31,2.29
2006-03-31,20.61,$8.41,2.45
