Franklin Resources ROA - Return on Assets Historical Data,Franklin Resources ROA - Return on Assets Historical Data,Franklin Resources ROA - Return on Assets Historical Data,Franklin Resources ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.77B,$21.23B,4.28%
2020-09-30,$0.78B,$20.22B,4.78%
2020-06-30,$1.01B,$15.62B,6.77%
2020-03-31,$0.97B,$14.67B,6.61%
2019-12-31,$1.26B,$15.00B,8.63%
2019-09-30,$1.18B,$14.53B,8.28%
2019-06-30,$1.37B,$14.46B,9.60%
2019-03-31,$1.53B,$14.24B,10.50%
2018-12-31,$1.60B,$13.95B,10.42%
2018-09-30,$0.75B,$14.38B,4.55%
2018-06-30,$0.68B,$15.53B,3.96%
2018-03-31,$0.69B,$17.69B,3.89%
2017-12-31,$0.66B,$18.07B,3.77%
2017-09-30,$1.68B,$17.53B,9.84%
2017-06-30,$1.73B,$17.48B,10.34%
2017-03-31,$1.77B,$17.21B,10.79%
2016-12-31,$1.71B,$16.21B,10.64%
2016-09-30,$1.72B,$16.10B,10.70%
2016-06-30,$1.60B,$16.00B,9.94%
2016-03-31,$1.66B,$15.89B,10.21%
2015-12-31,$1.91B,$16.16B,11.61%
2015-09-30,$2.02B,$16.34B,12.31%
2015-06-30,$2.31B,$16.67B,14.03%
2015-03-31,$2.38B,$16.49B,14.45%
2014-12-31,$2.33B,$16.30B,14.25%
2014-09-30,$2.37B,$16.36B,14.56%
2014-06-30,$2.23B,$16.69B,13.92%
2014-03-31,$2.20B,$16.14B,14.05%
2013-12-31,$2.22B,$15.91B,14.46%
2013-09-30,$2.14B,$15.39B,14.27%
2013-06-30,$2.13B,$15.32B,14.36%
2013-03-31,$2.03B,$14.81B,14.12%
2012-12-31,$1.96B,$14.35B,13.89%
2012-09-30,$1.92B,$14.75B,13.84%
2012-06-30,$1.84B,$13.63B,13.54%
2012-03-31,$1.89B,$13.66B,14.02%
2011-12-31,$1.89B,$13.41B,14.24%
2011-09-30,$1.91B,$13.78B,14.68%
2011-06-30,$1.87B,$13.15B,15.26%
2011-03-31,$1.73B,$12.83B,14.93%
2010-12-31,$1.59B,$12.39B,14.73%
2010-09-30,$1.44B,$10.71B,14.43%
2010-06-30,$1.43B,$10.41B,14.81%
2010-03-31,$1.37B,$9.52B,14.60%
2009-12-31,$1.12B,$9.22B,12.21%
2009-09-30,$0.89B,$9.47B,9.75%
2009-06-30,$0.82B,$9.24B,9.01%
2009-03-31,$0.92B,$8.83B,10.17%
2008-12-31,$1.18B,$8.99B,12.60%
2008-09-30,$1.58B,$9.18B,16.55%
2008-06-30,$1.72B,$9.35B,17.73%
2008-03-31,$1.79B,$9.95B,18.35%
2007-12-31,$1.86B,$9.67B,19.28%
2007-09-30,$1.77B,$9.93B,18.34%
2007-06-30,$1.72B,$9.46B,17.97%
2007-03-31,$1.62B,$9.62B,17.17%
2006-12-31,$1.38B,$9.66B,14.77%
2006-09-30,$1.27B,$9.50B,13.88%
2006-06-30,$1.22B,$8.98B,13.58%
2006-03-31,$1.11B,$9.17B,12.53%
2005-12-31,$1.14B,$8.89B,12.97%
